k,features,sharpe_ratio,calmar_ratio,max_drawdown,total_return,trades_made,win_rate,accuracy,composite_score
3,"['BB_upper', 'EMA_long', 'OBV']",1.1977319511890818,1.3432228922358416,0.2536734364023156,0.7935031835125503,17,0.0,0.4839357429718876,1.0534794531005311
4,"['BB_upper', 'EMA_long', 'OBV', 'BB_middle']",1.3631872490828227,1.5594490048917786,0.25367343640231577,0.9913434453231925,11,0.0,0.4919678714859438,1.1861358317576196
5,"['BB_upper', 'EMA_long', 'OBV', 'BB_middle', 'ATR']",1.2450980821367732,1.3988610658150065,0.25367653540139445,0.8435084963046316,11,0.0,0.46586345381526106,1.085502589822124
6,"['BB_upper', 'EMA_long', 'OBV', 'BB_middle', 'ATR', 'BB_lower']",1.004652326097147,1.0148619081536272,0.2678943103189473,0.5903406224631009,17,0.0,0.4759036144578313,0.8747107947446184
7,"['BB_upper', 'EMA_long', 'OBV', 'BB_middle', 'ATR', 'BB_lower', 'MACD']",1.345522667648545,1.40578417694138,0.2536765354013945,0.8700482722292783,9,0.0,0.5220883534136547,1.1389943372844236
8,"['BB_upper', 'EMA_long', 'OBV', 'BB_middle', 'ATR', 'BB_lower', 'MACD', 'RSI']",1.3311137066761276,1.4243274121605707,0.23841917866240564,0.81770997189226,9,0.0,0.4859437751004016,1.133090543472462
