k,features,sharpe_ratio,calmar_ratio,max_drawdown,total_return,trades_made,win_rate,accuracy,composite_score
3,"['BB_upper', 'EMA_long', 'ATR']",0.7323390840368406,0.7010749026539869,0.18160169788828495,0.24712659459184608,12,0.0,0.4919678714859438,0.6834915089192926
4,"['BB_upper', 'EMA_long', 'ATR', 'BB_lower']",0.79026510078024,0.7637918062915149,0.20054056483255453,0.30261063714348957,8,0.0,0.5200803212851406,0.7292055899733232
5,"['BB_upper', 'EMA_long', 'ATR', 'BB_lower', 'OBV']",0.4385408629920386,0.3521307123327909,0.3058354143786508,0.16269645379880662,14,0.0,0.41767068273092367,0.4340061540049724
6,"['BB_upper', 'EMA_long', 'ATR', 'BB_lower', 'OBV', 'RSI']",0.5752091765457756,0.610440526053106,0.19455791445601722,0.21119743735155716,16,0.0,0.4738955823293173,0.5885391534545038
7,"['BB_upper', 'EMA_long', 'ATR', 'BB_lower', 'OBV', 'RSI', 'BB_middle']",0.1790207521263761,0.13200456315800327,0.2767028818736464,0.03099681584489881,12,0.0,0.4678714859437751,0.27711367879934184
