k,features,sharpe_ratio,calmar_ratio,max_drawdown,total_return,trades_made,win_rate,accuracy,composite_score
3,"['BB_upper', 'EMA_long', 'BB_lower']",-0.3641771026468515,-0.2001234605940668,0.46395317335576564,-0.21904778383602375,17,0.0,0.44176706827309237,-0.0637497829179187
4,"['BB_upper', 'EMA_long', 'BB_lower', 'RSI']",0.2576424751022494,0.1989426755392012,0.3808332424843308,0.06590877771244646,51,0.0,0.4738955823293173,0.3194355849200905
5,"['BB_upper', 'EMA_long', 'BB_lower', 'RSI', 'ATR']",-0.1720033499397091,-0.13268225676002776,0.36805463154683626,-0.16126965488881453,29,0.0,0.4397590361445783,0.04254032707034007
6,"['BB_upper', 'EMA_long', 'BB_lower', 'RSI', 'ATR', 'OBV']",-0.5049465528952147,-0.2752180893073569,0.3945343754484866,-0.22895140265365946,20,0.0,0.4839357429718876,-0.1272103369007641
7,"['BB_upper', 'EMA_long', 'BB_lower', 'RSI', 'ATR', 'OBV', 'MACD']",0.5507166078954617,0.5455115552175106,0.22783527639132384,0.21424838896595932,36,0.0,0.4738955823293173,0.5559356985501689
8,"['BB_upper', 'EMA_long', 'BB_lower', 'RSI', 'ATR', 'OBV', 'MACD', 'wavelet_cD']",0.5645943692919108,0.7921605016775766,0.160649464139514,0.22278068508397772,96,0.0,0.5642570281124498,0.6602723574285758
