feature,rank
EMA_long,1
BB_upper,2
BB_lower,3
BB_middle,4
EMA_short,5
wavelet_cD,6
MACD_signal,7
OBV,8
ATR,9
RSI,10
MACD,11
wavelet_cA,12
MACD_hist,13
ADX,14
MFI,15
