feature,rank
EMA_long,1
BB_upper,2
BB_lower,3
BB_middle,4
ATR,5
OBV,6
MACD_signal,7
ADX,8
wavelet_cD,9
RSI,10
EMA_short,11
MFI,12
wavelet_cA,13
MACD,14
MACD_hist,15
