feature,rank
wavelet_cD,1
EMA_long,2
BB_lower,3
BB_middle,4
BB_upper,5
EMA_short,6
ATR,7
OBV,8
ADX,9
MACD_hist,10
RSI,11
wavelet_cA,12
MACD,13
MACD_signal,14
MFI,15
