feature,rank
wavelet_cD,1
ATR,2
EMA_long,3
OBV,4
BB_middle,5
BB_upper,6
EMA_short,7
BB_lower,8
MACD,9
MACD_hist,10
wavelet_cA,11
ADX,12
MACD_signal,13
RSI,14
MFI,15
