ticker,k,sharpe_val,adjusted_sharpe,features_used
VALE3.SA,1,0.2741864965355809,0.2741864965355809,EMA_long
VALE3.SA,2,0.6018199284805131,0.6018199284805131,"EMA_long, BB_middle"
VALE3.SA,3,0.5470326527945348,0.5470326527945348,"EMA_long, BB_middle, BB_upper"
VALE3.SA,5,0.16587793226792943,0.16587793226792943,"EMA_long, BB_middle, BB_upper, OBV, BB_lower"
VALE3.SA,8,0.5202977480689703,0.5202977480689703,"EMA_long, BB_middle, BB_upper, OBV, BB_lower, ATR, EMA_short, MACD_signal"
VALE3.SA,10,0.7239830959227586,0.7239830959227586,"EMA_long, BB_middle, BB_upper, OBV, BB_lower, ATR, EMA_short, MACD_signal, ADX, wavelet_cA"
VALE3.SA,12,0.543412178824865,0.543412178824865,"EMA_long, BB_middle, BB_upper, OBV, BB_lower, ATR, EMA_short, MACD_signal, ADX, wavelet_cA, MACD_hist, RSI"
