feature,importance_gain,ticker,importance_pct
wavelet_cD,3.9155354499816895,BBAS3.SA,12.348371974999829
EMA_long,3.37984299659729,BBAS3.SA,10.658965822739924
OBV,3.0719661712646484,BBAS3.SA,9.688018781076112
Open,3.0032799243927,BBAS3.SA,9.471403879544457
ATR,2.8336429595947266,BBAS3.SA,8.936422044034547
Close,2.82073712348938,BBAS3.SA,8.895721080676406
Low,2.703423261642456,BBAS3.SA,8.525749917749934
MACD,2.631321907043457,BBAS3.SA,8.298364836485002
RSI,2.599440813064575,BBAS3.SA,8.197821855212032
High,2.5819015502929688,BBAS3.SA,8.14250851591585
Volume,2.167828321456909,BBAS3.SA,6.836651291565908
