feature,importance_gain,ticker,importance_pct
wavelet_cD,10.26154899597168,B3SA3.SA,9.614534082831158
EMA_long,8.102531433105469,B3SA3.SA,7.591647679252413
wavelet_cA,7.795658111572266,B3SA3.SA,7.3041234458105775
EMA_short,7.718679904937744,B3SA3.SA,7.231998897010648
High,7.578217029571533,B3SA3.SA,7.100392537862428
BB_upper,7.519967555999756,B3SA3.SA,7.045815831247991
BB_middle,7.1019368171691895,B3SA3.SA,6.654142918344164
BB_lower,6.887375354766846,B3SA3.SA,6.45311006317393
Low,6.653293132781982,B3SA3.SA,6.233787278442129
Close,6.47050666809082,B3SA3.SA,6.062525932290268
RSI,6.349441051483154,B3SA3.SA,5.949093788898435
Open,6.324615478515625,B3SA3.SA,5.925833526971525
OBV,6.039346218109131,B3SA3.SA,5.65855116755006
ATR,6.017099380493164,B3SA3.SA,5.6377070456170175
MACD,5.909333229064941,B3SA3.SA,5.536735804697257
