feature,importance_gain,ticker,importance_pct
wavelet_cD,8.743509292602539,ITUB4.SA,10.302710704581457
wavelet_cA,6.269157409667969,ITUB4.SA,7.387115744011188
ATR,6.193206787109375,ITUB4.SA,7.297621095367528
Close,6.144526958465576,ITUB4.SA,7.2402603521142455
Open,5.944679260253906,ITUB4.SA,7.004774467585784
High,5.5606184005737305,ITUB4.SA,6.5522252910685905
Low,5.414963245391846,ITUB4.SA,6.380595928503665
BB_upper,5.405058860778809,ITUB4.SA,6.368925327379999
EMA_short,5.29491662979126,ITUB4.SA,6.239141792617593
OBV,5.2884321212768555,ITUB4.SA,6.231500922910755
EMA_long,5.183341979980469,ITUB4.SA,6.107670400468662
BB_middle,5.133793354034424,ITUB4.SA,6.0492859301320765
BB_lower,5.106716632843018,ITUB4.SA,6.017380705819033
MACD,4.635163307189941,ITUB4.SA,5.461736818061368
RSI,4.548020839691162,ITUB4.SA,5.359054519378057
