feature,importance_gain,ticker,importance_pct
BB_lower,8.45610523223877,PETR4.SA,8.58024825249612
Low,7.994560718536377,PETR4.SA,8.11192786168002
EMA_short,7.454667091369629,PETR4.SA,7.564108123892196
EMA_long,7.079477310180664,PETR4.SA,7.183410228586
BB_upper,6.945830821990967,PETR4.SA,7.047801693066592
Open,6.8863911628723145,PETR4.SA,6.987489407767991
ATR,6.827307224273682,PETR4.SA,6.927538065277745
High,6.440755844116211,PETR4.SA,6.5353117727936825
OBV,6.434145450592041,PETR4.SA,6.528604332911332
BB_middle,6.299292087554932,PETR4.SA,6.391771204566258
wavelet_cD,5.984867095947266,PETR4.SA,6.0727301790954185
MACD,5.9812116622924805,PETR4.SA,6.069021080477651
Close,5.8200201988220215,PETR4.SA,5.905463185350379
wavelet_cA,5.691561222076416,PETR4.SA,5.7751183184799
RSI,4.256960391998291,PETR4.SA,4.319456293558715
