ticker,total_features,features_with_importance,top_10_importance_pct,top_5_importance_pct,concentration_ratio,top_3_features
ABEV3.SA,20,20,56.484586753782814,31.71977733840737,0.3171977733840737,"wavelet_cD, ATR, EMA_long"
B3SA3.SA,20,20,57.449152915584435,31.641218319368438,0.31641218319368436,"wavelet_cD, BB_upper, EMA_long"
BBAS3.SA,20,20,55.229531038222845,29.885877808062602,0.298858778080626,"wavelet_cA, wavelet_cD, Close"
BBDC4.SA,20,20,55.3396441420959,30.82334285905373,0.3082334285905373,"BB_lower, EMA_long, BB_upper"
ITUB4.SA,20,20,55.41842518291691,28.579682447751654,0.28579682447751653,"Open, wavelet_cA, ATR"
PETR4.SA,20,20,56.78015923391071,30.661423388436965,0.30661423388436965,"BB_middle, EMA_short, BB_lower"
VALE3.SA,20,20,55.491592109045456,29.53102415223454,0.2953102415223454,"EMA_long, EMA_short, BB_middle"
VIVT3.SA,20,20,55.51049047699253,31.106921511713356,0.31106921511713354,"wavelet_cD, ATR, BB_lower"
