feature,importance_gain,ticker,importance_pct
EMA_long,1.1920802593231201,VALE3.SA,8.451956782911957
EMA_short,1.068318486213684,VALE3.SA,7.57447462555163
BB_upper,1.041472315788269,VALE3.SA,7.384132850786285
BB_middle,1.0319453477859497,VALE3.SA,7.3165857865697275
OBV,1.0098986625671387,VALE3.SA,7.160272795713173
High,1.0038574934005737,VALE3.SA,7.117440360300595
ATR,0.9835615158081055,VALE3.SA,6.973540044749782
Open,0.9388738870620728,VALE3.SA,6.656700717918933
BB_lower,0.8972365260124207,VALE3.SA,6.361488064749099
Low,0.8920089602470398,VALE3.SA,6.324424150987188
wavelet_cA,0.8444408774375916,VALE3.SA,5.987162144501383
MACD,0.8350178003311157,VALE3.SA,5.920351676126373
Close,0.8040591478347778,VALE3.SA,5.700852031777919
wavelet_cD,0.7959024310112,VALE3.SA,5.643020172266651
RSI,0.765518844127655,VALE3.SA,5.427597795089306
