feature,importance_gain,ticker,importance_pct
wavelet_cD,9.694101333618164,VIVT3.SA,11.335148097806686
EMA_short,6.001553535461426,VIVT3.SA,7.017514651456615
Low,5.95005989074707,VIVT3.SA,6.957304006978525
wavelet_cA,5.890894412994385,VIVT3.SA,6.888122818385164
OBV,5.688657760620117,VIVT3.SA,6.651650934445059
ATR,5.631211280822754,VIVT3.SA,6.5844797409748
BB_lower,5.5019145011901855,VIVT3.SA,6.4332952118197255
BB_upper,5.42503023147583,VIVT3.SA,6.343395740624631
EMA_long,5.373458385467529,VIVT3.SA,6.283093656701275
BB_middle,5.341440200805664,VIVT3.SA,6.245655336997873
High,5.211751937866211,VIVT3.SA,6.09401305305887
RSI,5.075678825378418,VIVT3.SA,5.934905072948355
Open,5.0174455642700195,VIVT3.SA,5.866813909449491
MACD,4.901269435882568,VIVT3.SA,5.730971135025959
Close,4.818026542663574,VIVT3.SA,5.633636633326971
