Price,Close,High,Low,Open,Volume
Ticker,VIVT3.SA,VIVT3.SA,VIVT3.SA,VIVT3.SA,VIVT3.SA
Date,,,,,
2017-01-02,10.228649139404297,10.332757707243072,10.0782702195452,10.298055219020883,76600
2017-01-03,10.410837173461914,10.454216102953474,10.248890420288364,10.289377935960754,107600
2017-01-04,10.381921768188477,10.448435337902266,10.173704608616726,10.295163882918688,137200
2017-01-05,10.003080368041992,10.540973849044532,10.003080368041992,10.538081331781619,74600
2017-01-06,10.240216255187988,10.240216255187988,10.063810206255086,10.063810206255086,25800
2017-01-09,10.167920112609863,10.364569396158894,10.167920112609862,10.364569396158894,70400
2017-01-10,10.367459297180176,10.410838231078515,10.182377905135207,10.237324701829385,25400
2017-01-11,10.338541030883789,10.488919941895483,10.217081777665966,10.488919941895483,35800
2017-01-12,10.685568809509277,10.685568809509277,10.405054206664472,10.410838138010686,95400
2017-01-13,10.468674659729004,10.613269610545228,10.410836458768129,10.454215385281767,52400
2017-01-16,10.364566802978516,10.387701422987227,10.266242185804494,10.361675389166926,59400
2017-01-17,10.61037826538086,10.688459679824225,10.283594434735578,10.29226977972749,67200
2017-01-18,10.442648887634277,10.809920243031568,10.442648887634277,10.809920243031568,62200
2017-01-19,10.61037826538086,10.728946094015884,10.497594367797793,10.497594367797793,64200
2017-01-20,10.572786331176758,10.697138113950095,10.419514887774593,10.457109895005946,53600
2017-01-23,10.812812805175781,10.844623878393284,10.593028913302772,10.6971374790429,35800
2017-01-24,10.740518569946289,10.885113598843084,10.714491420617964,10.795465386957485,36200
2017-01-26,10.633514404296875,10.84173151759967,10.53808119297573,10.84173151759967,25800
2017-01-27,10.838837623596191,10.838837623596191,10.526513096486402,10.526513096486402,29800
2017-01-30,10.78967571258545,10.807026400790912,10.676890723390253,10.786783195769914,32200
2017-01-31,11.044161796569824,11.044161796569824,10.561215196909348,10.757864415608871,42000
2017-02-01,10.89957332611084,11.125142330556786,10.89957332611084,11.061520162229394,45600
2017-02-02,10.945841789245605,11.073086103768036,10.668219635478733,11.073086103768036,79600
2017-02-03,11.003677368164062,11.061515578752749,10.899568809738852,10.91692060386709,50000
2017-02-06,10.859082221984863,11.052840058924762,10.856190807928488,10.963190778767842,58600
2017-02-07,10.867757797241211,10.942946691558324,10.81570352303244,10.89956776199368,40400
2017-02-08,10.971872329711914,11.04706237576966,10.818601925077402,10.91692660618719,46400
2017-02-09,10.992106437683105,11.203216012890168,10.974755751569289,10.983431094626196,43000
2017-02-10,11.058625221252441,11.096219124030721,10.911137715000926,11.096219124030721,66400
2017-02-13,11.365168571472168,11.365168571472168,10.980546384472953,11.119357473980582,88000
2017-02-14,11.275517463684082,11.391192790273081,10.992110321086383,11.307327433854827,72200
2017-02-15,11.07597827911377,11.263952245835398,11.07597827911377,11.22057329869273,49200
2017-02-16,11.090435981750488,11.09911243184743,11.026814932349259,11.075976702485313,15800
2017-02-17,11.003677368164062,11.206110553638405,10.911136672491011,10.911136672491011,44000
2017-02-20,11.035490989685059,11.159842785080858,10.997895978637583,11.003679911350455,45800
2017-02-21,11.029706001281738,11.04705779775955,10.882219592323244,11.018138136963197,18400
2017-02-22,10.997899055480957,11.1309273387491,10.997899055480957,11.044169426956453,35800
2017-02-23,10.902461051940918,11.104894232307817,10.90246105194092,11.104894232307817,13400
2017-02-24,10.830162048339844,10.940054519965717,10.830162048339844,10.940054519965717,15600
2017-03-01,10.699670791625977,10.89394611797466,10.699670791625977,10.754763546980511,36000
2017-03-02,10.554689407348633,10.705469704885923,10.505394955129864,10.702570551755318,51600
2017-03-03,10.734463691711426,10.734463691711426,10.476395998148691,10.49669338262276,103600
2017-03-06,10.873651504516602,10.914246293153457,10.740268311531205,10.740268311531205,23000
2017-03-07,10.798259735107422,10.922943236184073,10.737366455081775,10.922943236184073,19000
2017-03-08,10.76926326751709,10.86785107619744,10.728668482670756,10.815657465359317,23800
2017-03-09,10.960638999938965,10.989636063669883,10.728668020716027,10.728668020716027,9800
2017-03-10,10.812758445739746,11.09112363623809,10.644578785152243,10.986736413269975,39000
2017-03-13,10.838855743408203,10.940342711386046,10.690973468783357,10.940342711386046,14800
2017-03-14,10.821455955505371,10.830154521194938,10.809857130502726,10.830154521194938,2600
2017-03-15,10.844656944274902,10.867853495296924,10.572090003421225,10.702574059561265,52800
2017-03-16,11.163615226745605,11.178113207113782,10.980937576956586,10.980937576956586,25000
2017-03-17,10.983838081359863,11.302798081064271,10.89974824477642,11.302798081064271,19400
2017-03-20,11.114316940307617,11.117216092644757,10.960635319450935,11.108517529508825,8600
2017-03-21,11.114316940307617,11.114316940307615,11.079520475514872,11.079520475514872,1200
2017-03-22,10.838855743408203,11.073725899621207,10.815658090084701,11.073725899621207,18200
2017-03-23,10.963540077209473,11.024432256399384,10.792461259872365,10.902646791894597,28800
2017-03-24,11.131719589233398,11.131719589233398,10.922945121398058,10.992536979384857,4600
2017-03-27,11.00703239440918,11.053426586876007,10.879448641656605,11.012831806733134,49000
2017-03-28,10.86205005645752,11.09112185834825,10.86205005645752,11.007032041533968,15000
2017-03-29,11.001232147216797,11.001232147216797,10.76056263772321,10.899745204561318,23400
2017-03-30,11.157812118530273,11.157812118530273,10.867848182686583,11.001231327704769,18000
2017-03-31,10.293724060058594,11.26510321200845,10.154541444939293,11.26510321200845,327600
2017-04-03,10.755661964416504,10.816889375714824,10.50200475174163,10.504919866092456,142600
2017-04-04,10.583641052246094,10.697349416912395,10.539907664720726,10.618627984709295,65200
2017-04-05,10.618633270263672,10.618633270263672,10.490347045899547,10.586562548333953,25800
2017-04-06,10.700268745422363,10.749833488096197,10.51950157770772,10.604053262987485,35800
2017-04-07,10.554486274719238,10.761493883398675,10.554486274719238,10.700266468811453,19000
2017-04-10,10.490339279174805,10.574892031644463,10.455352355199665,10.539905107669325,6600
2017-04-11,10.644866943359375,10.644866943359375,10.332897485554135,10.490340327497258,15600
2017-04-12,10.633211135864258,10.700269913267388,10.548658329141409,10.700269913267388,5200
2017-04-13,10.458269119262695,10.641952445495397,10.458269119262695,10.621543310604478,110600
2017-04-17,10.46993637084961,10.609885262150245,10.321241021409849,10.586561003040933,51800
2017-04-18,10.53990650177002,10.662361307987087,10.452437511941364,10.502003346991895,1715400
2017-04-19,10.641956329345703,10.641956329345703,10.566151102401607,10.6244623021056,34400
2017-04-20,10.744002342224121,10.749833684800956,10.595306999266883,10.676943570912828,45000
2017-04-24,10.700268745422363,10.901445055675039,10.475767065289167,10.78773665804462,26200
2017-04-25,11.11428165435791,11.11428165435791,10.700266438184073,10.700266438184073,12600
2017-04-26,11.070549964904785,11.102621790396405,10.848963413625292,11.006406313921545,17400
2017-04-27,11.09543514251709,11.113431871089121,10.954454666048198,11.062439614471371,5800
2017-04-28,11.10142993927002,11.107429228399615,10.98144758942031,11.026440541521175,10800
2017-05-02,11.365389823913574,11.365389823913574,10.996442225445934,11.239408219472125,13800
