Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2017-01-02,13.115229606628418,13.340271619935923,13.109995955363486,13.230367938023091,1118500
2017-01-03,13.696151733398438,13.696151733398438,13.293169575447639,13.350738740359724,5658500
2017-01-04,13.450173377990723,13.727549847253174,13.27223326650851,13.638579791512067,2144400
2017-01-05,13.963062286376953,14.078199620716976,13.492044648164415,13.596714679868912,4031600
2017-01-06,13.591480255126953,13.91595963084529,13.533912090341323,13.758954093114495,4213500
2017-01-09,13.86885929107666,14.052033103998426,13.748488299065803,13.7641882556308,3407800
2017-01-10,14.936497688293457,14.936497688293459,14.350341787471642,14.350341787471642,3606500
2017-01-11,15.24527359008789,15.276675491150577,14.826591558085777,15.077800777287045,3499900
2017-01-12,15.737227439880371,15.9204012231572,15.548820005856571,15.742461090627346,5500500
2017-01-13,16.213476181030273,16.328614483301862,15.543584960031902,15.643021314263436,4424800
2017-01-16,16.65309715270996,16.804870046077937,16.328618757163877,16.328618757163877,2018500
2017-01-17,15.99890422821045,16.380951754526055,15.957036019822668,16.344317196963853,5968500
2017-01-18,16.804872512817383,17.10841634767584,15.88377070943237,15.88377070943237,14846300
2017-01-19,16.469919204711914,16.757763965073067,16.23964459428299,16.74729666508539,5303100
2017-01-20,16.799633026123047,16.972340500365977,16.197778183534552,16.218711787607866,6309700
2017-01-23,17.432893753051758,17.5218628282621,16.846736800805385,16.857204103141978,4369600
2017-01-24,17.862037658691406,18.17081599488677,17.411953779176148,17.830635761364817,5373900
2017-01-26,17.58466148376465,18.123716476780096,17.58466148376465,18.01381082022608,5274700
2017-01-27,17.636999130249023,17.89867566928407,17.48522625846464,17.52186081421486,3244000
2017-01-30,16.87813949584961,17.5270982959814,16.820570328527367,17.385792702490594,3136800
2017-01-31,16.84150505065918,17.244487228268138,16.804870488734174,17.113648936697718,4067300
2017-02-01,17.213083267211914,17.53756163261662,17.10317959454101,17.113646896190666,5928500
2017-02-02,17.092710494995117,17.50092523422536,16.961872232787123,16.961872232787123,4024400
2017-02-03,16.019834518432617,16.747294817644764,15.904696227702713,16.747294817644764,6833500
2017-02-06,15.658723831176758,16.10357413852602,15.632556577068994,16.046004981628833,3554600
2017-02-07,15.826197624206543,16.39665258306362,15.742461208063927,16.03553866456308,4297100
2017-02-08,16.009370803833008,16.129741772711927,15.721527008997898,16.114041819164022,3867100
2017-02-09,16.26581573486328,16.40712132383025,15.836666314934183,15.972738252656052,4011900
