feature,gain
EMA_long,2.656240224838257
Open,2.3443946838378906
ATR,2.0701286792755127
Low,2.023766040802002
High,1.9944058656692505
MACD,1.8428010940551758
Close,1.8245197534561157
wavelet_cD,1.784318208694458
RSI,1.6124597787857056
Volume,1.4473130702972412
