feature,gain
wavelet_cD,2.6930878162384033
BB_lower,2.170461654663086
High,1.9818629026412964
Open,1.9610686302185059
Close,1.9586430788040161
ATR,1.822003722190857
OBV,1.7167448997497559
Volume,1.6968930959701538
RSI,1.6924777030944824
MACD,1.6357179880142212
Low,1.6181776523590088
