feature,gain
BB_upper,2.565903663635254
ATR,2.4082510471343994
wavelet_cD,2.177898406982422
OBV,2.075096368789673
Open,2.070021390914917
Close,1.937434434890747
High,1.928758144378662
Low,1.8304810523986816
MACD,1.6491345167160034
RSI,1.648660659790039
Volume,1.3425828218460083
