feature,gain
wavelet_cD,2.3826024532318115
wavelet_cA,2.3279595375061035
Close,2.103877067565918
Open,2.022270441055298
ATR,1.8511399030685425
EMA_long,1.7652045488357544
High,1.7366822957992554
Low,1.6728355884552002
OBV,1.634841799736023
RSI,1.4963263273239136
MACD,1.4854638576507568
Volume,1.408149242401123
