feature,gain
wavelet_cD,3.0080642700195312
EMA_long,2.061657428741455
ATR,2.0160248279571533
OBV,1.9227113723754883
Low,1.8415776491165161
Open,1.8160845041275024
Close,1.8043755292892456
MACD,1.7690937519073486
RSI,1.7192140817642212
High,1.6123597621917725
Volume,1.3658210039138794
