feature,gain
BB_upper,2.428891897201538
wavelet_cD,2.291226625442505
Open,2.121273994445801
Low,2.0406899452209473
MACD,1.9290308952331543
High,1.9087213277816772
ATR,1.8041032552719116
OBV,1.7377055883407593
Close,1.6641860008239746
RSI,1.5704619884490967
Volume,1.3278720378875732
