feature,gain
EMA_long,2.379969835281372
wavelet_cD,2.104135036468506
OBV,2.000142812728882
Open,1.8939265012741089
Close,1.8587509393692017
ATR,1.8503761291503906
Low,1.7673670053482056
MACD,1.7583017349243164
High,1.7333852052688599
RSI,1.7298780679702759
Volume,1.3863908052444458
