feature,gain
BB_lower,2.7344648838043213
Low,2.7130894660949707
ATR,2.444392204284668
High,2.413065195083618
Close,2.199836254119873
Open,2.124138593673706
MACD,2.079643487930298
wavelet_cD,1.5912296772003174
RSI,1.5590147972106934
Volume,1.2843198776245117
