Close,High,Low,Open,Volume,RSI,EMA_short,EMA_long,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ADX,wavelet_cA,wavelet_cD
17.083890914916992,17.173987363239178,16.73208702166325,17.032407615934183,23600280.0,57.8493128505565,16.890469941432908,16.220469760894776,0.19631708499246514,0.2890044422407192,-0.09268735724825405,17.616159350948244,17.122755908966063,16.62935246698388,40.52966916596443,23.38991533679685,-0.058285214582220614
16.865089416503906,17.15253856542288,16.732090193814734,17.096764305848613,22656975.0,52.72026370983838,16.88816262098482,16.245748963075528,0.17186840557334548,0.26557723490724444,-0.09370882933389896,17.61401158430197,17.1244815826416,16.63495158098123,38.94301755889033,23.38991533679685,-0.058285214582220614
16.380287170410156,17.03670001541252,16.380287170410156,17.03241041489464,32770485.0,43.51429277174644,16.841992125478033,16.2510249712063,0.11208115955289699,0.23487801983637496,-0.12279686028347797,17.616990407064428,17.06662302017212,16.516255633279812,36.21295307351537,23.38991533679685,-0.058285214582220614
16.56048583984375,16.63342123173112,16.221554595770456,16.324521254760622,19581870.0,47.20457797132642,16.816400644965825,16.26316069154502,0.0783368445965067,0.20356978478840132,-0.12523294019189463,17.623637176458427,17.03481521606445,16.445993255670476,34.192140405158526,23.38991533679685,-0.058285214582220614
16.204387664794922,16.603382649947154,15.964132213458784,16.508997929984236,26307600.0,41.442604511287065,16.760763101313923,16.260855866966587,0.022599571397758922,0.16737574211027284,-0.14477617071251392,17.67136812894443,16.98562297821045,16.29987782747647,33.05502546008725,23.38991533679685,-0.058285214582220614
16.337383270263672,16.551898386461144,16.097127852351726,16.131450054910573,14168385.0,44.18295553677529,16.7222740257639,16.263856941605688,-0.010717441314838538,0.13175710542525057,-0.1424745467400891,17.666859242342277,16.939083194732667,16.21130714712306,31.999133011092493,23.38991533679685,-0.058285214582220614
16.247295379638672,16.376003696398204,16.092845399527235,16.11429611055119,14322000.0,42.72442838933235,16.679094148843426,16.263207468587375,-0.04388487626698989,0.09662870908680248,-0.14051358535379238,17.611609634374215,16.87548608779907,16.139362541223928,31.031295347516988,23.38991533679685,-0.058285214582220614
16.42319679260254,16.47467876713131,16.17865032501352,16.303067684684706,10761300.0,46.4420988905231,16.655830752821526,16.269481559725225,-0.05533862425498626,0.06623524241844472,-0.12157386667343098,17.505832098373343,16.81811113357544,16.130390168777534,29.701384176825695,23.38991533679685,-0.058285214582220614
16.54332733154297,16.560488444073343,16.16578285587471,16.285910643587336,10253925.0,48.88238542325604,16.64560316906893,16.28022060960043,-0.054098655905544746,0.04216846275364683,-0.09626711865919158,17.439499992817368,16.780037689208985,16.120575385600603,28.10067860957799,23.38991533679685,-0.058285214582220614
16.487548828125,16.599096021937108,16.298776653981434,16.457516216226885,15937845.0,47.793494995476905,16.63123459261948,16.288351127973943,-0.05696022905650011,0.02234272439161744,-0.07930295344811755,17.3920575416044,16.74603729248047,16.100017043356537,26.44880111056645,23.38991533679685,-0.058285214582220614
16.732093811035156,16.813609742603546,16.43177444510835,16.440354998420542,13024935.0,52.76173233706657,16.640403612475453,16.30575280181948,-0.03904522101889896,0.01006513530951416,-0.04911035632841312,17.345924381892015,16.725658321380614,16.105392260869213,25.06235889290148,23.38991533679685,-0.058285214582220614
16.534740447998047,16.839350753951038,16.444645316792677,16.839350753951038,16820760.0,48.731261130258844,16.630797870250234,16.314732709512757,-0.04030757449645961,-9.406651680594902e-06,-0.04029816784477901,17.31970701447168,16.704207038879396,16.088707063287114,23.871714196750116,23.38991533679685,-0.058285214582220614
16.260164260864258,16.564774595072677,16.260164260864258,16.418905180852978,15850395.0,43.72648799649848,16.5971039057606,16.312592770350072,-0.06274076580155352,-0.012555678481655182,-0.05018508731989834,17.239577767813792,16.653581428527833,16.067585089241874,22.34985345455841,23.38991533679685,-0.058285214582220614
16.53270149230957,16.554162041295843,16.22367931223153,16.30522750734409,18699780.0,49.293105854946106,16.591249140901418,16.321224484936717,-0.05786077168538739,-0.021616697122401624,-0.03624407456298577,17.15030729238314,16.620015239715578,16.089723187048016,21.083402504488088,23.38991533679685,-0.058285214582220614
16.618539810180664,16.67004350321387,16.40823373899811,16.47261403065931,15959460.0,50.93922708571401,16.593730110835896,16.332883909456086,-0.046530531317646506,-0.0265994639614506,-0.019931067356195906,17.117689403554063,16.605113983154297,16.09253856275453,19.750047202926574,23.38991533679685,-0.058285214582220614
16.31381607055664,16.73013841182862,16.197932044884077,16.704385205465943,15248970.0,45.31518758360681,16.56828337990142,16.33213615106787,-0.06143174636913429,-0.03356592044298734,-0.027865825926146948,17.10924528876774,16.58462905883789,16.06001282890804,19.016563230451673,23.38991533679685,-0.058285214582220614
16.18505096435547,16.40394098295912,16.060583031628386,16.266597802426826,16967280.0,43.147350085569684,16.53344406939724,16.32636810453013,-0.08267827094838509,-0.04338839054406689,-0.0392898804043182,17.099583178812047,16.555132102966308,16.01068102712057,18.82385503929199,23.38991533679685,-0.058285214582220614
16.30951690673828,16.506947721010878,16.09491819557242,16.185050329631746,14904120.0,45.844248296422414,16.513087054610065,16.325707273244173,-0.08845329883665087,-0.05240137220258369,-0.036051926634067186,17.075310798921524,16.53142900466919,15.987547210416855,18.16718543484544,23.38991533679685,-0.058285214582220614
16.27947425842285,16.416817437752524,16.094918685828922,16.309517403531533,21363705.0,45.28584409687887,16.491849527683954,16.323894213839417,-0.09436644307242759,-0.06079438637655247,-0.03357205669587512,16.980855089291378,16.49099283218384,16.0011305750763,17.55742080214507,23.38991533679685,-0.058285214582220614
