feature,rank
EMA_long,1
BB_middle,2
BB_upper,3
MACD_signal,4
BB_lower,5
wavelet_cD,6
EMA_short,7
ATR,8
High,9
OBV,10
RSI,11
Open,12
ADX,13
wavelet_cA,14
MFI,15
MACD_hist,16
MACD,17
Low,18
Close,19
Volume,20
