feature,rank
wavelet_cA,1
wavelet_cD,2
Open,3
ATR,4
High,5
BB_middle,6
EMA_long,7
BB_lower,8
Close,9
OBV,10
MACD_signal,11
BB_upper,12
EMA_short,13
MFI,14
Low,15
MACD_hist,16
ADX,17
RSI,18
MACD,19
Volume,20
