feature,rank
BB_middle,1
BB_upper,2
EMA_long,3
BB_lower,4
OBV,5
ATR,6
EMA_short,7
wavelet_cA,8
MACD_signal,9
Open,10
MACD_hist,11
ADX,12
High,13
wavelet_cD,14
Close,15
RSI,16
MACD,17
Low,18
MFI,19
Volume,20
