feature,importance
wavelet_cA,0.073013656
wavelet_cD,0.06466653
Close,0.06186002
BB_lower,0.06027512
Low,0.0602408
EMA_long,0.059740644
High,0.059033602
RSI,0.05799104
Volume,0.05758982
EMA_short,0.057535022
BB_upper,0.056926303
ADX,0.05645269
Open,0.056415148
BB_middle,0.055830386
MACD_signal,0.05427097
MACD,0.054178465
MACD_hist,0.053979736
