feature,importance
Close,0
High,0
Low,0
Open,0
Volume,0
RSI,0
EMA_short,0
EMA_long,0
MACD,0
MACD_signal,0
MACD_hist,0
BB_upper,0
BB_middle,0
BB_lower,0
ADX,0
ATR,0
OBV,0
MFI,0
wavelet_cA,0
wavelet_cD,0
