feature,importance
High,0.06399175
Low,0.06330735
BB_upper,0.06265543
ADX,0.06157091
Close,0.060153488
EMA_long,0.058944006
BB_lower,0.058640998
EMA_short,0.058512725
MACD_signal,0.058289755
Volume,0.058165494
wavelet_cA,0.058126226
MACD_hist,0.057365507
RSI,0.05728614
MACD,0.057220493
BB_middle,0.055715624
Open,0.05529965
wavelet_cD,0.05475442
