feature,importance
Close,0.065109015
EMA_long,0.06305146
High,0.062786244
BB_lower,0.0605946
EMA_short,0.059729427
Open,0.05941597
MACD_hist,0.05938806
wavelet_cA,0.059115943
MACD,0.05889741
wavelet_cD,0.058817443
BB_middle,0.057964783
Low,0.057704497
Volume,0.056878693
ADX,0.056494582
RSI,0.05566027
BB_upper,0.054573085
MACD_signal,0.053818572
