feature,importance
High,0.062029347
Low,0.060411222
Close,0.060408905
BB_upper,0.060076024
wavelet_cA,0.059714995
EMA_short,0.05960055
Open,0.05955224
ADX,0.05935101
MACD_hist,0.058945533
Volume,0.058586586
MACD,0.058467355
RSI,0.05825158
BB_lower,0.058007665
BB_middle,0.057121746
wavelet_cD,0.056770843
EMA_long,0.056449406
MACD_signal,0.05625496
