feature,rank
BB_lower,1
ATR,2
BB_middle,3
BB_upper,4
EMA_long,5
wavelet_cA,6
OBV,7
EMA_short,8
wavelet_cD,9
RSI,10
MACD_signal,11
ADX,12
MFI,13
MACD_hist,14
MACD,15
