2025-09-17 12:30:29,891 - INFO - THRESHOLDS FINANCEIROS: buy=0.55 sell=0.25 hold_min_days=3
2025-09-17 12:30:29,892 - INFO - PROBABILIDADE MÉDIA: 0.609
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - INICIANDO BACKTESTING REALISTA
2025-09-17 12:30:29,892 - INFO - ============================================================
2025-09-17 12:30:29,892 - INFO - Tamanho test_df: 251
2025-09-17 12:30:29,892 - INFO - Tamanho predictions: 251
2025-09-17 12:30:29,892 - INFO - Tamanho probabilities: 251
2025-09-17 12:30:29,916 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.854, fração: 94.1%)
2025-09-17 12:30:29,916 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.961, fração: 97.9%)
2025-09-17 12:30:29,916 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.902, fração: 96.3%)
2025-09-17 12:30:29,916 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.787, fração: 89.4%)
2025-09-17 12:30:29,916 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.903, fração: 96.3%)
2025-09-17 12:30:29,918 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.929, fração: 97.1%)
2025-09-17 12:30:29,918 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.838, fração: 93.2%)
2025-09-17 12:30:29,918 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.293, fração: 23.6%)
2025-09-17 12:30:29,918 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.927, fração: 97.1%)
2025-09-17 12:30:29,918 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.900, fração: 96.2%)
2025-09-17 12:30:29,918 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.607, fração: 61.4%)
2025-09-17 12:30:29,919 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.411, fração: 30.5%)
2025-09-17 12:30:29,919 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.697, fração: 78.0%)
2025-09-17 12:30:29,919 - INFO - PROGRESSO: Data 2024-03-14 | Pred: 1 | Cash: R$ 1,898.53 | Ações: 3700
2025-09-17 12:30:29,920 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.543, fração: 48.9%)
2025-09-17 12:30:29,920 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.867, fração: 94.8%)
2025-09-17 12:30:29,920 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.553, fração: 50.7%)
2025-09-17 12:30:29,921 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.345, fração: 25.8%)
2025-09-17 12:30:29,922 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.278, fração: 23.1%)
2025-09-17 12:30:29,922 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.497, fração: 41.1%)
2025-09-17 12:30:29,923 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.539, fração: 48.1%)
2025-09-17 12:30:29,923 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.632, fração: 66.4%)
2025-09-17 12:30:29,924 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.565, fração: 53.0%)
2025-09-17 12:30:29,924 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.609, fração: 61.8%)
2025-09-17 12:30:29,925 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.828, fração: 92.6%)
2025-09-17 12:30:29,925 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.645, fração: 68.8%)
2025-09-17 12:30:29,925 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.858, fração: 94.4%)
2025-09-17 12:30:29,925 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.638, fração: 67.5%)
2025-09-17 12:30:29,926 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.733, fração: 83.2%)
2025-09-17 12:30:29,926 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.598, fração: 59.6%)
2025-09-17 12:30:29,926 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.553, fração: 50.8%)
2025-09-17 12:30:29,926 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.601, fração: 60.2%)
2025-09-17 12:30:29,927 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.452, fração: 34.9%)
2025-09-17 12:30:29,927 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.484, fração: 39.0%)
2025-09-17 12:30:29,927 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.449, fração: 34.5%)
2025-09-17 12:30:29,928 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.560, fração: 52.1%)
2025-09-17 12:30:29,928 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.656, fração: 71.0%)
2025-09-17 12:30:29,929 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.735, fração: 83.5%)
2025-09-17 12:30:29,929 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.692, fração: 77.2%)
2025-09-17 12:30:29,929 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.655, fração: 70.7%)
2025-09-17 12:30:29,929 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.731, fração: 83.0%)
2025-09-17 12:30:29,929 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.580, fração: 56.0%)
2025-09-17 12:30:29,929 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.717, fração: 81.0%)
2025-09-17 12:30:29,931 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.814, fração: 91.6%)
2025-09-17 12:30:29,931 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.713, fração: 80.5%)
2025-09-17 12:30:29,931 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.474, fração: 37.7%)
2025-09-17 12:30:29,931 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.800, fração: 90.5%)
2025-09-17 12:30:29,931 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.502, fração: 41.8%)
2025-09-17 12:30:29,933 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.436, fração: 33.0%)
2025-09-17 12:30:29,933 - WARNING - COMPRA REJEITADA: Quantidade calculada = 0 (prob: 0.381, fração: 28.0%)
2025-09-17 12:30:29,933 - INFO - VENDA: 2024-05-07 | Preço base: R$ 27.06 | Preço exec c/ slippage: R$ 27.05 | Ações: 3700 | Valor líquido: R$ 99999.74 | Slippage: 0.7 bps
