Date,BB_upper,EMA_long
2017-05-02,11.300287567044704,10.85010915736564
2017-05-03,11.431979490721943,10.879724744346053
2017-05-04,11.545282547384714,10.907871927426712
2017-05-05,11.60287979411268,10.92819907608212
2017-05-08,11.652754864310545,10.948313104324573
2017-05-09,11.707790671185002,10.967346448006946
2017-05-10,11.773009944970315,10.989575539087806
2017-05-11,11.86254445432484,11.017648974834746
2017-05-12,11.955252104761016,11.04739552442475
2017-05-15,12.059902801182968,11.080647836227811
2017-05-16,12.148526577276652,11.113326313738735
2017-05-17,12.18830055322167,11.145452974076187
2017-05-18,12.219968953701809,11.167121408303592
2017-05-19,12.30926237940514,11.127786438022577
2017-05-22,12.35067228141325,11.096564270650866
2017-05-23,12.418030141253055,11.055032166433111
2017-05-24,12.476907405153176,11.017756836807749
2017-05-25,12.515430914086334,10.986469722312355
2017-05-26,12.55275009662092,10.953635258798538
2017-05-29,12.546220095187834,10.931286703584089
2017-05-30,12.534607334229346,10.909814562299616
2017-05-31,12.481846985635224,10.891520556457674
2017-06-01,12.427799810887024,10.866205512615275
2017-06-02,12.386405210767872,10.839693130571847
2017-06-05,12.339022618559918,10.808653572307714
2017-06-06,12.27995905215785,10.778539015892823
2017-06-07,12.188817078880229,10.754865366417992
2017-06-08,12.052407662812117,10.738548608226376
2017-06-09,11.88157265834722,10.71673525876736
2017-06-12,11.652894827295334,10.687595482324433
2017-06-13,11.371712333634502,10.65331600980604
2017-06-14,10.99368826222632,10.61731257955926
2017-06-15,10.51031831550684,10.597477531728046
2017-06-16,10.508117747526544,10.57842032890982
2017-06-19,10.486618854842083,10.5582112717262
2017-06-20,10.486958924220705,10.53981740204712
2017-06-21,10.496052959701585,10.512940145684768
2017-06-22,10.498884903665052,10.48492535579674
2017-06-23,10.495036114095804,10.462830700670809
2017-06-26,10.459560169630006,10.438388171374433
2017-06-27,10.440469284347325,10.432290702598586
2017-06-28,10.388280169108508,10.421903294818218
2017-06-29,10.389474729577008,10.415283573264666
2017-06-30,10.407499272848431,10.41082271908515
2017-07-03,10.476698808514035,10.413842170021285
2017-07-04,10.558553357132848,10.420269636945903
2017-07-05,10.62645241739218,10.427018746893625
2017-07-06,10.672704110546164,10.433650388298666
2017-07-07,10.701792564775465,10.4339869272657
2017-07-10,10.734582264770175,10.43475176373619
2017-07-11,10.771891459471073,10.440049919524109
2017-07-12,10.825209601720683,10.452352887253308
2017-07-13,10.959961607774291,10.475360396780156
2017-07-14,11.096636237596815,10.501292727363689
2017-07-17,11.212408963337737,10.52664971111367
2017-07-18,11.295694876534933,10.548068067635848
2017-07-19,11.374812926075094,10.574092791732657
2017-07-20,11.39872477044851,10.593650635289384
2017-07-21,11.412977932581256,10.610969704626324
2017-07-24,11.38547708179924,10.625843202944631
2017-07-25,11.414600751857668,10.64381337551365
2017-07-26,11.44905312635565,10.668144140955746
2017-07-27,11.460654817266027,10.687693719800198
2017-07-28,11.461525775302098,10.705887950948217
2017-07-31,11.475546683171354,10.7239573803812
2017-08-01,11.515895161350045,10.74779466311958
2017-08-02,11.57414063313796,10.77614371537393
2017-08-03,11.65362776546929,10.809552060895896
2017-08-04,11.690109518285798,10.841502848391304
2017-08-07,11.70461390066952,10.87264249552901
2017-08-08,11.747327767752594,10.907863297036108
2017-08-09,11.829710810422611,10.946563413341256
2017-08-10,11.920535210946506,10.984040469892882
2017-08-11,11.977083426956051,11.015629072154953
2017-08-14,12.04611647013791,11.050103079631912
2017-08-15,12.15243493169993,11.092504416345662
2017-08-16,12.253320637075554,11.134421360405367
2017-08-17,12.331211615749112,11.174694502737244
2017-08-18,12.37149882003086,11.209411222461778
2017-08-21,12.438112492477524,11.252487472799713
2017-08-22,12.493853556902636,11.293727368179828
2017-08-23,12.610307515237292,11.344249089035522
2017-08-24,12.718672694458958,11.397208294334431
2017-08-25,12.805837563007268,11.449710829820091
2017-08-28,12.867856298121922,11.50059638624345
2017-08-29,12.88953158287915,11.541827229121694
2017-08-30,12.94887190300114,11.58983676389754
2017-08-31,12.983918672555912,11.63095562228952
2017-09-01,13.00057888593452,11.669431073194296
2017-09-04,13.04793354611435,11.716707725025314
2017-09-05,13.09190460701728,11.761968078881264
2017-09-06,13.105708204961482,11.798232220177912
2017-09-07,13.13776724068602,11.840590239071537
2017-09-08,13.13553938877941,11.88128715918502
2017-09-11,13.114345381110176,11.916409205403982
2017-09-12,13.21192414408826,11.969459014767638
2017-09-13,13.284999011890443,12.019691716691195
2017-09-14,13.350971494695672,12.070165200598812
2017-09-15,13.35510096246458,12.11468030375634
2017-09-18,13.44334219482499,12.16850254012816
2017-09-19,13.536616366997407,12.224782237938411
2017-09-20,13.644652082727118,12.280475910719645
2017-09-21,13.722327572606863,12.330890938242357
2017-09-22,13.790609850701497,12.37947637009083
2017-09-25,13.843439902091028,12.424830434798704
2017-09-26,13.842002835891057,12.45941612583936
2017-09-27,13.850069673301975,12.492056032346063
2017-09-28,13.83251316660703,12.517962944974936
2017-09-29,13.803083219313464,12.536370036864035
2017-10-02,13.798548536134216,12.5612760551483
2017-10-03,13.797851771474283,12.590363398521198
2017-10-04,13.860257887241586,12.640707233979102
2017-10-05,13.907314759624931,12.685537996484095
2017-10-06,13.941745579959472,12.72905308255708
2017-10-09,13.916816089536155,12.765258801959044
2017-10-10,13.937114743028753,12.799749648573394
2017-10-11,14.009063416561784,12.845126022780592
2017-10-12,14.055606293340626,12.885479167091068
2017-10-13,14.089706113311236,12.924249835154075
2017-10-16,14.110804919920126,12.957371236056524
2017-10-17,14.121697263163584,12.98771945279703
