Date,wavelet_cD,BB_upper,EMA_short
2017-05-02,7.203439233993691e-16,10.732429299712283,10.138282732125662
2017-05-03,-4.031116645950971e-06,10.720946106480753,10.177658388069672
2017-05-04,8.367872367243123e-16,10.721517501770046,10.210334970238897
2017-05-05,2.748410199030177e-05,10.66738001119638,10.19977326978616
2017-05-08,8.606396845189934e-16,10.617190913863617,10.211440221733866
2017-05-09,4.397581798437503e-06,10.580518871908826,10.198509426069096
2017-05-10,3.408731630294426e-16,10.575655852406232,10.19015721403454
2017-05-11,3.8110695056371886e-05,10.6063201971278,10.2095035993953
2017-05-12,1.6143770348309161e-15,10.697610427880178,10.256583080499412
2017-05-15,-2.3452201099773097e-05,10.861227033075268,10.327740201271885
2017-05-16,4.217546450968612e-16,10.954486836339376,10.374280070642008
2017-05-17,-3.444615559066041e-05,10.996217155352708,10.416589042796668
2017-05-18,6.633148891266316e-16,11.01853796707425,10.428395680635242
2017-05-19,3.298040702957492e-05,11.308995260623668,10.24828219779429
2017-05-22,4.046242507715903e-16,11.428140295212344,10.110064466506218
2017-05-23,2.2985464991685887e-05,11.590364358851955,9.947547182630386
2017-05-24,6.303551430830723e-16,11.667786253328632,9.81759143705701
2017-05-25,4.058677156915753e-06,11.697811272533592,9.71315553726152
2017-05-26,7.26415455565288e-17,11.715942239032216,9.6213546064893
2017-05-29,7.26415455565288e-17,11.69188276757238,9.5707356087547
2017-05-30,7.966717563423488e-16,11.652415250425,9.52471833808688
2017-05-31,-2.4352623113844e-05,11.564264458016854,9.486881911605304
2017-06-01,1.2756722761464445e-15,11.47323671496495,9.433639948882574
2017-06-02,1.4760557468065146e-06,11.428734731864196,9.376672001786227
2017-06-05,6.303551430830723e-16,11.345225145548914,9.326025200709426
2017-06-06,3.72667384760945e-05,11.287548979420071,9.2662771405819
2017-06-07,2.990229591715021e-16,11.21248064881508,9.240799486821611
2017-06-08,-1.586622685529151e-05,11.084858159226409,9.221064188431358
2017-06-09,5.26488574958961e-16,10.873565998598712,9.19084497143884
2017-06-12,-2.4352511079401944e-05,10.53876881847322,9.15023843311956
2017-06-13,1.113258790708116e-15,10.196437662283715,9.094478273605672
2017-06-14,-3.703863596066053e-07,9.742225309588015,9.052337516632376
2017-06-15,8.636754506019528e-16,9.192566007923624,9.01374111508483
2017-06-16,3.7005025674125263e-06,9.181794456175052,8.978653477314333
2017-06-19,6.691695808580533e-16,9.180925404275374,8.949619248674873
2017-06-20,-4.181545493717577e-05,9.153420629220088,8.912915449401252
2017-06-21,6.08237418764368e-16,9.20429512446142,8.847189582713186
2017-06-22,5.180591559301355e-06,9.253129196318328,8.783429808081767
2017-06-23,3.7307396755226213e-16,9.28005723014965,8.729475363331835
2017-06-26,5.513726417912684e-05,9.277249179016351,8.665535110630591
2017-06-27,5.970701363877673e-16,9.223470726486484,8.650075430579257
2017-06-28,1.0731793549256948e-05,9.1621043199472,8.611107734935999
2017-06-29,4.460407737605365e-16,9.12549931402207,8.583987326421088
2017-06-30,8.881318196075254e-06,9.097182495224564,8.564200136695618
2017-07-03,1.016547956922409e-15,9.064028781509696,8.553084566407415
2017-07-04,5.180703594954463e-06,9.054471855645474,8.553574824164324
2017-07-05,1.016547956922409e-15,8.992264531735943,8.55802958646508
