Date,BB_middle,EMA_long,BB_upper,OBV,ATR,BB_lower,RSI,MACD
2017-05-02,14.949009561538697,15.476499494217736,16.0829977917836,-10952600.0,0.6479998069490673,13.815021331293792,46.94844754204268,-0.3064547484611033
2017-05-03,14.920123529434203,15.464684107701808,15.99881155811192,-3143800.0,0.6291411310068852,13.841435500756486,50.59363510174231,-0.2540303667624304
2017-05-04,14.852298641204834,15.416429548505876,15.924369132633636,-11107400.0,0.6518040889123027,13.780228149776033,41.530648582211946,-0.2851288672803278
2017-05-05,14.765571355819702,15.349495186197071,15.910272976805036,-18834100.0,0.6539199204152926,13.620869734834368,37.49798937584024,-0.3480920560363909
2017-05-08,14.66794137954712,15.300031530225551,15.687138253084376,-14547500.0,0.6535666898048859,13.648744506009862,41.88361075858171,-0.3632561201492024
2017-05-09,14.601171827316284,15.252083483491257,15.590990253169409,-19099700.0,0.6346965556041743,13.61135340146316,41.793383833311495,-0.3718599108108886
2017-05-10,14.561242008209229,15.215983743265207,15.52661369017354,-15119700.0,0.6198784952856139,13.595870326244915,44.80285193038032,-0.3540862847436248
2017-05-11,14.516654205322263,15.182571992861522,15.430605403888276,-10587200.0,0.6092090628631642,13.602703006756254,45.19237184234958,-0.3335377824236598
2017-05-12,14.468716859817505,15.145380653855408,15.33508819521786,-14000800.0,0.58616771024359,13.602345524417151,43.85895171401575,-0.3239912468275125
2017-05-15,14.41937494277954,15.100952345910862,15.2715439328978,-17856600.0,0.5813829306600949,13.56720595266128,41.60069121832527,-0.3305077455111558
2017-05-16,14.422490882873536,15.073960475290066,15.27408293840955,-10474800.0,0.5684413530280193,13.570898827337524,46.91356670071144,-0.2999219407511795
2017-05-17,14.442101669311525,15.060964243786945,15.304144580479283,-3424800.0,0.5575831770647417,13.58005875814376,50.88055006044115,-0.2462242255812778
2017-05-18,14.450093841552734,15.039570238108986,15.311743475911936,-8866800.0,0.5505908881802953,13.58844420719353,48.20934581265188,-0.2194667801934482
2017-05-19,14.48008394241333,15.01943924282622,15.307825804600531,11284400.0,0.6039737040246488,13.652342080226129,48.34836284060193,-0.1951393674709116
2017-05-22,14.519050073623657,15.008369046581524,15.317642036301482,17777100.0,0.6037115991964336,13.720458110945833,51.10539706208247,-0.1570301406508409
2017-05-23,14.540022230148317,15.01194261079723,15.375599116648026,25765800.0,0.608876204104493,13.704445343648604,55.49990549247018,-0.0964778973118107
2017-05-24,14.561925029754638,15.0225868602436,15.449698953943454,31231200.0,0.611740462394278,13.674151105565825,57.583306650009405,-0.0332690438639051
2017-05-25,14.539481067657473,15.01711931301141,15.369029152410132,26903300.0,0.6062882671255301,13.70993298290481,51.88911609096466,-0.0152926135800441
2017-05-26,14.538669872283936,15.015683793783232,15.366457672090714,30902600.0,0.5934992885596712,13.710882072477158,53.103915831368944,0.0067315045246445
2017-05-29,14.566521739959716,15.017697929639484,15.425475359519409,33859600.0,0.5738978836712361,13.707568120400024,54.21066269703334,0.030812888150244
2017-05-30,14.577067613601685,15.019633079775884,15.45495530603904,33859600.0,0.5329051776947192,13.69917992116433,54.21066269703333,0.0493289250289858
2017-05-31,14.591669607162476,15.037186567207314,15.51728487325423,36935300.0,0.5350152497262299,13.666054341070724,59.35572243315666,0.0951986443281587
2017-06-01,14.614654207229616,15.0237237547501,15.526346105832094,27483100.0,0.5636288460686173,13.702962308627136,48.10660807557876,0.0683588658596328
2017-06-02,14.650347805023191,15.000184598309032,15.468621865706432,20575600.0,0.5573636263959426,13.832073744339954,44.90220424235745,0.0249803960717276
2017-06-05,14.670087623596192,14.979901607409984,15.451374151034235,23183300.0,0.5407296468412441,13.888801096158147,45.75826584534198,-0.0045443758921184
2017-06-06,14.68252639770508,14.954263576557778,15.43298278495008,19722400.0,0.523738687935558,13.932070010460077,43.82514218539794,-0.040135706542312
2017-06-07,14.68468952178955,14.931539616277728,15.431326371952148,25596300.0,0.5191638556080845,13.938052671626954,44.60721821521096,-0.0636806967929555
2017-06-08,14.68171525001526,14.906949775344694,15.433891974421712,19681300.0,0.5095076956598948,13.929538525608804,43.66162810965197,-0.0870102101998711
2017-06-09,14.70064368247986,14.895412980135005,15.425372836363897,24854700.0,0.510198631888226,13.97591452859582,48.78784680129131,-0.0797059829798154
2017-06-12,14.738230180740356,14.89026693254067,15.39066353095976,30079000.0,0.4973198819144959,14.085796830520952,51.13973294309998,-0.0609952993646345
2017-06-13,14.74336805343628,14.875566939068449,15.387024471625354,24885800.0,0.499653915342568,14.099711635247203,47.296851395471386,-0.0654858620364855
2017-06-14,14.719301795959472,14.851475350180442,15.396404343711744,20312400.0,0.4925501554016486,14.0421992482072,43.68472461462801,-0.0885347515826548
2017-06-15,14.699291610717774,14.822602332297484,15.42146679419094,12676700.0,0.4929071290025097,13.977116427244608,41.71388413365481,-0.117232217138568
2017-06-16,14.678740787506104,14.794861589625624,15.44168708238723,12676700.0,0.4576994769309019,13.91579449262498,41.71388413365481,-0.1383800067662637
2017-06-19,14.633042049407958,14.75675621264515,15.481246024433949,-363000.0,0.4520472914715618,13.78483807438197,37.76219543911825,-0.1766683595061895
2017-06-20,14.591669845581055,14.737748159503926,15.425426773977062,5403200.0,0.4711355426066511,13.757912917185047,46.19875080663615,-0.1688452395622679
2017-06-21,14.52271614074707,14.705063795405731,15.344262483064323,1022400.0,0.4710906948444285,13.701169798429817,41.26367209373974,-0.1901283522927599
2017-06-22,14.494323682785032,14.689779538589118,15.303231775042343,3774200.0,0.4787750089031921,13.685415590527722,47.95526054751839,-0.1718486605190214
