Date,MACD_signal,BB_lower,EMA_long,BB_middle,OBV
2017-05-02,-0.0309419021506708,3.816664382328096,4.075381431510107,4.026973307132721,91712000.0
2017-05-03,-0.0325347916082975,3.8069245646009513,4.069768444443309,4.020508527755737,129542100.0
2017-05-04,-0.0328271980462788,3.803002036030845,4.0662494043019,4.01587073802948,167899700.0
2017-05-05,-0.0347255848528231,3.778201010369414,4.056695764820215,4.000833189487457,130204300.0
2017-05-08,-0.0347164125101154,3.783860670670393,4.054240574487311,3.991838812828064,162992400.0
2017-05-09,-0.034015968030678,3.7820717117673337,4.0504486769703645,3.984952402114868,126528100.0
2017-05-10,-0.0325723500731009,3.7817360479933337,4.047466891854248,3.979471504688263,154536700.0
2017-05-11,-0.0280185756191902,3.780828689837721,4.05110534099607,3.979893100261688,200808400.0
2017-05-12,-0.0212866702157866,3.786157020936181,4.055593151540839,3.978206694126129,230126400.0
2017-05-15,-0.0106687859289648,3.746965704601461,4.066849139700389,3.9890280604362487,313644600.0
2017-05-16,0.0028838874178136,3.704460493541135,4.080198938183004,4.003503453731537,360559300.0
2017-05-17,0.0176486898811753,3.6792108782441946,4.093245663519559,4.026270616054535,395028600.0
2017-05-18,0.0319554248387207,3.663999450847088,4.104788744284378,4.044962203502655,365005200.0
2017-05-19,0.034120599228902,3.622446150214039,4.088763576470358,4.031611132621765,222080300.0
2017-05-22,0.0305920726213225,3.6232943963985487,4.07854744859,4.031892168521881,293064200.0
2017-05-23,0.0226235252668675,3.603890479014458,4.066306993132623,4.025146329402924,238049300.0
2017-05-24,0.012641828854347,3.585364255072952,4.055538619918836,4.017557334899903,286569400.0
2017-05-25,0.0044040423551605,3.580322335628951,4.051365192863626,4.013481760025025,340635200.0
2017-05-26,-0.0037090609503767,3.5728677119668437,4.043938423888568,4.009827816486359,295604400.0
2017-05-29,-0.0115793345326278,3.571154228720032,4.036141518267493,4.009125161170959,232277500.0
2017-05-30,-0.018858442756866,3.562589799301804,4.028650373651166,4.005049598217011,232277500.0
2017-05-31,-0.02677747989013,3.5413496467420065,4.017925732105491,3.996195685863495,197613700.0
2017-06-01,-0.0364151968614451,3.4990387221314783,4.0032126694276124,3.979331171512604,151984900.0
2017-06-02,-0.047169740808868,3.4648264890011045,3.987533432358923,3.968369197845459,109111500.0
2017-06-05,-0.056921586424772,3.4320673848232,3.975004288955582,3.952066791057587,152304100.0
2017-06-06,-0.0648210378168126,3.408378589749593,3.964399436268125,3.939418458938599,183723500.0
2017-06-07,-0.0709976018438477,3.3855009873652446,3.954210460156646,3.9259268283843993,183723500.0
2017-06-08,-0.0769988829187407,3.3528201865586293,3.9410039805616406,3.899786722660065,139367900.0
2017-06-09,-0.0825347217463608,3.325279816132567,3.927984766981625,3.871960198879242,111618700.0
2017-06-12,-0.0872556873149617,3.322830194305026,3.91558630692919,3.835420358181,142000800.0
2017-06-13,-0.0907953276151883,3.3491122003893827,3.9042252006036073,3.7963508129119874,172681500.0
2017-06-14,-0.0930226718470252,3.4067763336307646,3.893750515235794,3.757562327384949,195572500.0
2017-06-15,-0.0955337103347618,3.502346405995283,3.880159409334716,3.7155414819717407,128189700.0
2017-06-16,-0.097873189448868,3.482650567879027,3.867101287978778,3.708092999458313,128189700.0
2017-06-19,-0.1012841379879034,3.4449768652946458,3.850807534143749,3.689260911941529,54638300.0
2017-06-20,-0.1049121496502352,3.411858711442864,3.835263012627872,3.673661231994629,100564500.0
2017-06-21,-0.1101751964349387,3.3561554957450817,3.815588384286748,3.650753557682037,46549800.0
2017-06-22,-0.1169226149385929,3.3117148074689275,3.794260331255804,3.616883897781372,-12228500.0
2017-06-23,-0.1221864588561292,3.293554506567519,3.778177677121581,3.592992401123047,30056100.0
2017-06-26,-0.1264592804812969,3.275094771166388,3.761513239959764,3.568398261070252,-3544900.0
2017-06-27,-0.1280740222084116,3.2802500676054427,3.749250025807145,3.5485824584960937,39186400.0
2017-06-28,-0.1279152445791335,3.277189675887567,3.7368063582247735,3.5324206829071043,-5911200.0
2017-06-29,-0.126944612905224,3.2634369176575992,3.723417735197275,3.5200533747673037,-37988600.0
2017-06-30,-0.1247782468910733,3.254147053487644,3.711656388675628,3.5110589385032656,-13608300.0
2017-07-03,-0.1208395524653377,3.254635883515741,3.702450558927664,3.501502311229706,16079300.0
2017-07-04,-0.1157658953559415,3.2612558952773347,3.6934955179294615,3.4899781346321106,-15463200.0
2017-07-05,-0.1096690511988432,3.27289116360084,3.6856632897285713,3.479437792301178,-2939700.0
2017-07-06,-0.1039871182685189,3.2727809007061968,3.675713219639477,3.4701623558998107,-44898100.0
2017-07-07,-0.0988054808773963,3.273027664975439,3.6657124142522903,3.4607462882995605,-96875000.0
2017-07-10,-0.0950601067838141,3.268049032999467,3.653458379555936,3.447816812992096,-139552000.0
2017-07-11,-0.0919704116719896,3.271781315067961,3.642236025497231,3.4348873257637025,-117803200.0
2017-07-12,-0.0876744951974782,3.290965424904882,3.6353116568568624,3.4263145208358763,-72302300.0
2017-07-13,-0.079912431757911,3.275232876384853,3.635382600655588,3.4308116912841795,-5970100.0
2017-07-14,-0.0705165291494419,3.265761699078822,3.634679174374349,3.434325087070465,-38953400.0
2017-07-17,-0.0596211807148058,3.248144039884038,3.6359874528527567,3.4451465725898744,-2975900.0
2017-07-18,-0.0489387808140896,3.2418252858408425,3.635480801989314,3.4535788536071776,-31094600.0
2017-07-19,-0.0386140953031271,3.250182645793462,3.63554511264559,3.468756890296936,-11793900.0
