Date,EMA_long,BB_upper,target
2017-05-02,10.04319991469982,10.732429299712283,1.0
2017-05-03,10.063914229711976,10.720946106480753,0.0
2017-05-04,10.082470565485275,10.721517501770046,0.0
2017-05-05,10.082928828221494,10.66738001119638,2.0
2017-05-08,10.092543765985786,10.617190913863617,2.0
2017-05-09,10.09162838180679,10.580518871908826,2.0
2017-05-10,10.092216880311971,10.575655852406232,2.0
2017-05-11,10.104403177280243,10.6063201971278,2.0
2017-05-12,10.128833558231628,10.697610427880178,0.0
2017-05-15,10.164538571987116,10.861227033075268,0.0
2017-05-16,10.191014657961867,10.954486836339376,0.0
2017-05-17,10.216452466055255,10.996217155352708,0.0
2017-05-18,10.229394018720578,11.01853796707425,2.0
2017-05-19,10.159501993256429,11.308995260623668,0.0
2017-05-22,10.10336023483953,11.428140295212344,1.0
2017-05-23,10.033517650880022,11.590364358851955,1.0
2017-05-24,9.97408691874054,11.667786253328632,1.0
2017-05-25,9.922899060723523,11.697811272533592,1.0
2017-05-26,9.875073422999742,11.715942239032216,1.0
2017-05-29,9.843288019407936,11.69188276757238,1.0
2017-05-30,9.812749102231496,11.652415250425,1.0
2017-05-31,9.785132182410242,11.564264458016854,1.0
2017-06-01,9.750468972184557,11.47323671496495,1.0
2017-06-02,9.713469896052722,11.428734731864196,1.0
2017-06-05,9.678414495813062,11.345225145548914,1.0
2017-06-06,9.638821634773594,11.287548979420071,1.0
2017-06-07,9.613221686320465,11.21248064881508,0.0
2017-06-08,9.590103628210986,11.084858159226409,1.0
2017-06-09,9.562595752654229,10.873565998598712,1.0
2017-06-12,9.530500744704131,10.53876881847322,1.0
2017-06-13,9.491535095047766,10.196437662283715,1.0
2017-06-14,9.457785873551751,9.742225309588015,0.0
2017-06-15,9.425236509867736,9.192566007923624,0.0
2017-06-16,9.39396359181839,9.181794456175052,0.0
2017-06-19,9.365152351444346,9.180925404275374,0.0
2017-06-20,9.333023924198098,9.153420629220088,0.0
2017-06-21,9.288196747399448,9.20429512446142,1.0
2017-06-22,9.24339813227663,9.253129196318328,1.0
2017-06-23,9.202085692416077,9.28005723014965,1.0
2017-06-26,9.155969884227924,9.277249179016351,2.0
2017-06-27,9.130068266417648,9.223470726486484,1.0
2017-06-28,9.094435423754346,9.1621043199472,1.0
2017-06-29,9.063782396990332,9.12549931402207,1.0
2017-06-30,9.03643125355702,9.097182495224564,1.0
2017-07-03,9.013117434340094,9.064028781509696,1.0
2017-07-04,8.995288413453556,9.054471855645474,1.0
2017-07-05,8.979887974081755,8.992264531735943,2.0
2017-07-06,8.96336206928378,8.907404148576859,2.0
2017-07-07,8.945260794263806,8.844198296394298,2.0
2017-07-10,8.923422258932305,8.803021239395008,2.0
2017-07-11,8.905898870403211,8.797504277107832,2.0
2017-07-12,8.90302154845189,8.838844593264609,2.0
2017-07-13,8.910139409912054,8.945584481797594,1.0
2017-07-14,8.920189740657976,9.058781783752185,1.0
2017-07-17,8.933675373255202,9.179080522451285,1.0
2017-07-18,8.944779299214979,9.27954329395808,1.0
2017-07-19,8.955694685248368,9.36687596745789,1.0
2017-07-20,8.967417380457684,9.442059061380649,1.0
2017-07-21,8.981892000636101,9.521181366381215,0.0
2017-07-24,8.992957936763595,9.550965023518843,0.0
2017-07-25,8.999513461795345,9.589826658352624,1.0
2017-07-26,9.011741255929616,9.623757261825135,0.0
2017-07-27,9.014595599449477,9.62330332087846,2.0
2017-07-28,9.014249636502887,9.612238450720692,2.0
2017-07-31,9.013546691510014,9.600855278630082,2.0
2017-08-01,9.014600754611507,9.59756690315048,2.0
2017-08-02,9.02302502730329,9.610493248545872,2.0
2017-08-03,9.04569538079896,9.67448769839099,2.0
2017-08-04,9.069947315687587,9.725606960413655,2.0
2017-08-07,9.09559524289724,9.742162759302074,1.0
2017-08-08,9.12616664275739,9.782615808456288,1.0
2017-08-09,9.155539164191651,9.85885470090184,1.0
2017-08-10,9.176595296989513,9.901369526540355,0.0
2017-08-11,9.1986786695867,9.948311289048164,1.0
2017-08-14,9.219648895027808,9.989454834256142,0.0
2017-08-15,9.24214384467707,10.035517382031063,0.0
2017-08-16,9.261903631541852,10.068750173289148,0.0
2017-08-17,9.277800340372606,10.088607306418128,2.0
2017-08-18,9.286403201900196,10.093258848505544,2.0
2017-08-21,9.298003938486984,10.101814375744397,2.0
2017-08-22,9.31409078695902,10.114352360115117,1.0
2017-08-23,9.34663658497924,10.204689476475648,1.0
2017-08-24,9.378154743097872,10.26492916202291,0.0
2017-08-25,9.409805024970394,10.302493400074985,0.0
2017-08-28,9.438721712510809,10.30599771967169,0.0
2017-08-29,9.462773862772716,10.27206875510887,0.0
2017-08-30,9.483271369384456,10.24168499710243,0.0
2017-08-31,9.498985724575569,10.242945084650442,2.0
2017-09-01,9.508239340342632,10.241341876525723,2.0
2017-09-04,9.531927915693108,10.272859017601151,2.0
2017-09-05,9.554065918645016,10.296223749827456,2.0
2017-09-06,9.577325316237408,10.326097381199988,2.0
2017-09-07,9.609123306071504,10.401422643971232,2.0
2017-09-08,9.639674315912105,10.466211582614616,2.0
2017-09-11,9.667783842621798,10.514743830377084,2.0
2017-09-12,9.709340365119798,10.643354637521824,2.0
2017-09-13,9.744609399909544,10.71982935584837,2.0
2017-09-14,9.781112741205888,10.791261817991783,2.0
2017-09-15,9.816558494052,10.82611601269007,2.0
2017-09-18,9.85672124850506,10.885898147320413,2.0
2017-09-19,9.901166797221869,10.976189160318476,2.0
2017-09-20,9.943370929467855,11.072302934254958,2.0
2017-09-21,9.986661792664371,11.170263337047622,0.0
