Date,BB_upper,ATR,BB_lower,EMA_long,OBV,RSI,BB_middle,target
2019-06-28,20.03266478940722,0.4554543104418348,18.786391340048347,18.96162739985728,843312750.0,62.62045926050893,19.409528064727784,2.0
2019-07-01,20.0723882688462,0.4446506261195275,18.78176097736962,18.99427591976848,820789702.0,60.70943626433917,19.42707462310791,2.0
2019-07-02,20.11824670479068,0.4407529111071454,18.779918616559417,19.027293475945985,836551137.0,61.34609014461413,19.44908266067505,2.0
2019-07-03,20.17190334306921,0.4443052951313668,18.78284442914758,19.06147700492716,854728337.0,62.32690167072417,19.4773738861084,2.0
2019-07-04,20.28996868440314,0.4517478763107667,18.746786114486024,19.10817745216232,870359467.0,67.350992495485,19.51837739944458,0.0
2019-07-05,20.475438096514992,0.4563979814579658,18.70855505228872,19.16690350932419,889419520.0,71.45102484625576,19.59199657440185,0.0
2019-07-08,20.678121584537585,0.457326010761037,18.62908285271828,19.23035879126648,906691374.0,73.28455023319523,19.65360221862793,0.0
2019-07-10,20.828172312687062,0.4434956840454575,18.592226399471137,19.28760293503632,894278202.0,70.69608507320191,19.7101993560791,0.0
2019-07-11,20.940252936036547,0.450242572450059,18.60692456945662,19.33887929028574,866914972.0,68.10535584855678,19.773588752746583,0.0
2019-07-12,21.01098626547353,0.4542476540646802,18.636647477812605,19.38131934229238,840602833.0,63.51016890293767,19.823816871643068,0.0
2019-07-15,21.020247706021298,0.4617334741801167,18.71242269650556,19.407203547580853,817235797.0,54.81957735107715,19.86633520126343,0.0
2019-07-16,20.995376160847314,0.4532391966085295,18.8348722903856,19.428763548314315,801570061.0,53.08134370859781,19.915124225616456,0.0
2019-07-17,20.951012456893345,0.4378172197358932,18.98048893165646,19.44968509964708,813785313.0,53.18137065194725,19.965750694274902,0.0
2019-07-18,20.87248733844968,0.4238735289676239,19.154439655874057,19.46564986938269,796509466.0,50.8489999528278,20.013463497161865,0.0
