Date,EMA_long,BB_upper,BB_lower,OBV,ATR,RSI,MACD,wavelet_cD,target
2017-05-02,4.857370947472662,5.086502619651184,4.804905251595154,47757000.0,0.1406416326751409,48.81102395964207,0.0083291756170424,6.636401497783775e-16,2.0
2017-05-03,4.863924070100926,5.091860043451268,4.80365988071255,82630800.0,0.1416102246244412,56.666609875824726,0.0164471164729729,-1.2075648471793687e-06,1.0
2017-05-04,4.869817102484185,5.097543009237636,4.803631154580723,67217400.0,0.1359010298878033,55.98134754502964,0.0217999035617086,1.831217469328017e-16,2.0
2017-05-05,4.873362495659256,5.094039336638145,4.803279598756141,36846300.0,0.1342711783487422,52.39839911718532,0.021439810533903,4.52899837332483e-06,2.0
2017-05-08,4.878280708091803,5.0837775083436325,4.807373299990718,50319600.0,0.1281683919053828,54.63204621833365,0.0239887539354937,3.325248063013042e-16,2.0
2017-05-09,4.8825020793210845,5.081219277457533,4.807875504418076,39039600.0,0.1245207835689485,53.72701152446447,0.0246872432479579,2.4153537647192023e-06,2.0
2017-05-10,4.887364191466371,5.087604105078858,4.809971940911131,60157800.0,0.1209501389219594,55.01109021061814,0.026593291670701,2.0860049798621103e-16,2.0
2017-05-11,4.896369446532324,5.110270968125433,4.7988702386159,91422900.0,0.1233254051837284,61.23755680928312,0.0365993695481838,3.0192762320983314e-06,2.0
2017-05-12,4.90602943849726,5.139588282850249,4.787543417665499,109356000.0,0.1205744380807987,62.53615148323664,0.0460720283112463,4.715195248139459e-16,0.0
2017-05-15,4.916620824862152,5.1738065979076175,4.779025624077246,143819700.0,0.1207736458655274,64.21451813907079,0.0556338186906879,7.246285362464918e-06,0.0
2017-05-16,4.929215792197473,5.217572253456308,4.769184786567496,165042600.0,0.1194900455840429,67.14129337403814,0.0674118036214199,4.1004526163401773e-16,0.0
2017-05-17,4.943937293173166,5.256297063251563,4.785202456096582,199197000.0,0.1208681403927629,70.00344051215933,0.081201839935038,-4.226897096266816e-06,0.0
2017-05-18,4.956670472485242,5.292134966977211,4.773780331484702,171592200.0,0.1208627301216392,66.63756380971193,0.088210366960685,5.114181647614124e-16,2.0
2017-05-19,4.951468190407801,5.295146420502372,4.746867558455758,18934200.0,0.1919017080065543,40.63616743470591,0.0572277830656231,1.1472902372995665e-05,0.0
2017-05-22,4.950299763249929,5.29541289203108,4.742488986325854,83456400.0,0.1925133599253478,45.652359228649,0.0400921329545109,4.78241578283356e-16,1.0
2017-05-23,4.942726802880686,5.307327323651365,4.714126152300783,18813300.0,0.2002408241538524,39.58535978072714,0.0130886429667222,4.511689029200786e-06,1.0
2017-05-24,4.936956897489014,5.312920564436237,4.69926596281596,56014200.0,0.1942296897588082,41.5389149080664,-0.0051534537707738,2.079499766827197e-16,1.0
2017-05-25,4.933537675284041,5.314835815084938,4.6899030402770014,80530500.0,0.1956498452495459,44.27608435687176,-0.0150655117291567,-8.18255844563698e-06,1.0
2017-05-26,4.927521067386203,5.320882349840086,4.671242493757327,43787400.0,0.1923620198738127,41.580416432498886,-0.028216011723698,2.9045776200886664e-16,1.0
2017-05-29,4.927709078452581,5.320283861174552,4.678045301423104,71924700.0,0.1904147086556846,48.90143506501191,-0.0260561556903429,2.9045776200886664e-16,1.0
2017-05-30,4.927889716535965,5.319952091934219,4.68303920292662,71924700.0,0.1768136580374214,48.9014350650119,-0.024067024545233,1.0440866921035408e-16,1.0
2017-05-31,4.926242388611483,5.3167306832902685,4.672401339567397,62571300.0,0.1704490026658378,46.82524780864957,-0.025938337081401,-1.575872966425734e-05,1.0
2017-06-01,4.919399138154292,5.320289904840216,4.64259642862536,17691900.0,0.1715409268994119,41.36169592033124,-0.037809765769035,3.1344284806555933e-16,1.0
2017-06-02,4.914038259165417,5.322298003725068,4.622835539289458,39357300.0,0.1673955763207017,43.014187447870256,-0.0442103401577735,3.333365210431995e-06,1.0
2017-06-05,4.910000342957911,5.319605903007225,4.606757088325783,53220000.0,0.1624405584085856,44.55646419221004,-0.0464577070582379,7.911423252626726e-16,1.0
2017-06-06,4.906120776405602,5.316732384937477,4.592145178539085,53220000.0,0.1569183032841879,44.55646419221004,-0.0476890320422684,-3.03036765541317e-06,1.0
2017-06-07,4.901381763061331,5.312090565923437,4.574665997263208,26596200.0,0.1514219470116089,43.32032033631504,-0.0501680380689473,1.9049432170570315e-16,1.0
2017-06-08,4.898953024464142,5.29186789708644,4.567133739418687,48902400.0,0.1459497172048469,46.66674189243529,-0.0472170714287321,-5.151910703268879e-06,1.0
2017-06-09,4.894899737833904,5.265133616229794,4.559157517650822,36428400.0,0.1416053749100634,44.38229457863381,-0.0478653559431032,7.213197053546061e-16,1.0
2017-06-12,4.890600765217935,5.227800548221024,4.557407200192063,16854300.0,0.1394139902016257,43.83853690305898,-0.0486509076158601,-3.6365308144244287e-06,2.0
2017-06-13,4.885256445856074,5.168451571618266,4.568408989752585,-1102800.0,0.1368263098344846,42.16934920436904,-0.0511813118590485,7.213197053546061e-16,2.0
2017-06-14,4.881335641552962,5.0675129774966585,4.617413770779098,15746700.0,0.1320280318815448,44.44727299429688,-0.0501111896642516,6.970120094571355e-06,1.0
2017-06-15,4.879895335219419,4.933182135028704,4.709342059688702,46788000.0,0.1325475785076792,48.624382295729305,-0.0439686785758999,7.12212407105728e-16,1.0
2017-06-16,4.878511511487191,4.934672233541222,4.709911516229897,46788000.0,0.1230798943285593,48.624382295729305,-0.0386551023263264,4.5458035621243975e-06,2.0
