Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,89956.0750777683,-10.043924922231708,71.60%,70.82%,77.84%,0.74
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,71.60%,70.82%,77.84%,0.74
VALE3.SA,Modelo de Predição,100000.0,63709.88345952416,-36.29011654047585,70.99%,65.82%,77.15%,0.71
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,70.99%,65.82%,77.15%,0.71
BBDC4.SA,Modelo de Predição,100000.0,75029.39288195784,-24.970607118042157,70.84%,69.32%,74.62%,0.72
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,70.84%,69.32%,74.62%,0.72
ITUB4.SA,Modelo de Predição,100000.0,82315.02588555493,-17.684974114445062,68.40%,98.52%,39.35%,0.56
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,68.40%,98.52%,39.35%,0.56
BBAS3.SA,Modelo de Predição,100000.0,75970.50454645281,-24.029495453547188,70.53%,68.28%,81.98%,0.75
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,70.53%,68.28%,81.98%,0.75
B3SA3.SA,Modelo de Predição,100000.0,54140.3515735374,-45.8596484264626,72.67%,70.89%,75.93%,0.73
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,72.67%,70.89%,75.93%,0.73
ABEV3.SA,Modelo de Predição,100000.0,85776.63981511927,-14.223360184880727,68.70%,67.47%,64.17%,0.66
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,68.70%,67.47%,64.17%,0.66
VIVT3.SA,Modelo de Predição,100000.0,70856.1433349749,-29.143856665025105,67.18%,76.60%,57.02%,0.65
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,67.18%,76.60%,57.02%,0.65
