Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,100038.9521760567,0.0389521760566946,88.84%,0.00%,0.00%,0.00
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,88.84%,0.00%,0.00%,0.00
VALE3.SA,Modelo de Predição,100000.0,95701.05299697608,-4.298947003023912,57.77%,16.67%,32.61%,0.22
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,57.77%,16.67%,32.61%,0.22
BBDC4.SA,Modelo de Predição,100000.0,85396.13399205043,-14.603866007949572,85.66%,0.00%,0.00%,0.00
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,85.66%,0.00%,0.00%,0.00
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,93.63%,0.00%,0.00%,0.00
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,93.63%,0.00%,0.00%,0.00
BBAS3.SA,Modelo de Predição,100000.0,100000.0,0.0,97.21%,0.00%,0.00%,0.00
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,97.21%,0.00%,0.00%,0.00
B3SA3.SA,Modelo de Predição,100000.0,98891.6819560228,-1.108318043977197,66.93%,14.49%,29.41%,0.19
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,66.93%,14.49%,29.41%,0.19
ABEV3.SA,Modelo de Predição,100000.0,101499.16606120249,1.4991660612024835,87.25%,0.00%,0.00%,0.00
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,87.25%,0.00%,0.00%,0.00
VIVT3.SA,Modelo de Predição,100000.0,100000.0,0.0,93.63%,0.00%,0.00%,0.00
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,93.63%,0.00%,0.00%,0.00
