Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,121267.2490784158,21.267249078415794,60.56%,41.89%,35.63%,0.39
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,60.56%,41.89%,35.63%,0.39
VALE3.SA,Modelo de Predição,100000.0,72463.03880466858,-27.53696119533141,61.35%,29.27%,38.10%,0.33
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,61.35%,29.27%,38.10%,0.33
BBDC4.SA,Modelo de Predição,100000.0,90065.25569124511,-9.934744308754883,49.40%,27.87%,46.58%,0.35
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,49.40%,27.87%,46.58%,0.35
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,71.31%,0.00%,0.00%,0.00
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,71.31%,0.00%,0.00%,0.00
BBAS3.SA,Modelo de Predição,100000.0,99499.59682908552,-0.5004031709144874,72.11%,44.44%,5.80%,0.10
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,72.11%,44.44%,5.80%,0.10
B3SA3.SA,Modelo de Predição,100000.0,107056.42801018278,7.05642801018278,62.95%,31.58%,6.98%,0.11
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,62.95%,31.58%,6.98%,0.11
ABEV3.SA,Modelo de Predição,100000.0,105476.273608132,5.47627360813201,58.17%,40.94%,63.41%,0.50
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,58.17%,40.94%,63.41%,0.50
VIVT3.SA,Modelo de Predição,100000.0,100000.0,0.0,65.34%,0.00%,0.00%,0.00
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,65.34%,0.00%,0.00%,0.00
