Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,96687.54370581894,-3.3124562941810543,77.29%,20.00%,3.92%,0.07
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,77.29%,20.00%,3.92%,0.07
VALE3.SA,Modelo de Predição,100000.0,96013.13445902942,-3.9868655409705855,63.35%,9.41%,34.78%,0.15
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,63.35%,9.41%,34.78%,0.15
BBDC4.SA,Modelo de Predição,100145.65480559607,91026.06975389695,-9.10632125717501,81.67%,7.69%,2.86%,0.04
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,81.67%,7.69%,2.86%,0.04
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,84.86%,0.00%,0.00%,0.00
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,84.86%,0.00%,0.00%,0.00
BBAS3.SA,Modelo de Predição,100000.0,99583.25779465814,-0.4167422053418579,90.04%,0.00%,0.00%,0.00
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,90.04%,0.00%,0.00%,0.00
B3SA3.SA,Modelo de Predição,100000.0,84165.89308369573,-15.834106916304268,62.95%,31.00%,56.36%,0.40
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,62.95%,31.00%,56.36%,0.40
ABEV3.SA,Modelo de Predição,100000.0,98057.56106790158,-1.9424389320984223,80.08%,28.00%,17.95%,0.22
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,80.08%,28.00%,17.95%,0.22
VIVT3.SA,Modelo de Predição,100000.0,99665.52852117857,-0.3344714788214298,80.48%,0.00%,0.00%,0.00
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,80.48%,0.00%,0.00%,0.00
