Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,97175.93711855178,-2.82406288144822,91.63%,0.00%,0.00%,0.00
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,91.63%,0.00%,0.00%,0.00
VALE3.SA,Modelo de Predição,100000.0,94232.61801155274,-5.767381988447262,68.13%,15.62%,27.78%,0.20
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,68.13%,15.62%,27.78%,0.20
BBDC4.SA,Modelo de Predição,100000.0,89588.67184872986,-10.41132815127014,89.64%,0.00%,0.00%,0.00
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,89.64%,0.00%,0.00%,0.00
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,96.81%,0.00%,0.00%,0.00
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,96.81%,0.00%,0.00%,0.00
BBAS3.SA,Modelo de Predição,100000.0,101137.68832040184,1.1376883204018418,98.80%,0.00%,0.00%,0.00
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,98.80%,0.00%,0.00%,0.00
B3SA3.SA,Modelo de Predição,100000.0,102967.10950800906,2.9671095080090693,83.27%,19.23%,19.23%,0.19
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,83.27%,19.23%,19.23%,0.19
ABEV3.SA,Modelo de Predição,100000.0,101928.08187114271,1.9280818711427283,97.61%,0.00%,0.00%,0.00
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,97.61%,0.00%,0.00%,0.00
VIVT3.SA,Modelo de Predição,100000.0,98466.57169402987,-1.5334283059701082,96.41%,0.00%,0.00%,0.00
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,96.41%,0.00%,0.00%,0.00
