Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,99847.24570059095,122834.80898430858,23.022731495919047,49.40%,46.70%,73.91%,0.57
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,49.40%,46.70%,73.91%,0.57
VALE3.SA,Modelo de Predição,100342.89035868408,91003.00363184692,-9.307970593084336,48.21%,35.65%,42.27%,0.39
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,48.21%,35.65%,42.27%,0.39
BBDC4.SA,Modelo de Predição,100000.0,73480.35512406421,-26.51964487593579,46.22%,40.58%,51.38%,0.45
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,46.22%,40.58%,51.38%,0.45
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,53.78%,45.00%,33.33%,0.38
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,53.78%,45.00%,33.33%,0.38
BBAS3.SA,Modelo de Predição,100000.0,105463.67046566578,5.463670465665782,54.58%,47.92%,20.54%,0.29
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,54.58%,47.92%,20.54%,0.29
B3SA3.SA,Modelo de Predição,100000.0,91095.06146595842,-8.904938534041573,49.80%,41.96%,43.52%,0.43
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,49.80%,41.96%,43.52%,0.43
ABEV3.SA,Modelo de Predição,100000.0,95248.44872841306,-4.751551271586941,47.41%,46.59%,68.33%,0.55
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,47.41%,46.59%,68.33%,0.55
VIVT3.SA,Modelo de Predição,100000.0,110429.42604625555,10.429426046255564,56.18%,55.95%,39.17%,0.46
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,56.18%,55.95%,39.17%,0.46
