Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,97824.60441624964,-2.1753955837503725,60.16%,25.93%,8.05%,0.12
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,60.16%,25.93%,8.05%,0.12
VALE3.SA,Modelo de Predição,100000.0,94956.29161167408,-5.043708388325918,65.34%,32.35%,34.92%,0.34
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,65.34%,32.35%,34.92%,0.34
BBDC4.SA,Modelo de Predição,100000.0,98521.36098520992,-1.478639014790073,54.18%,29.41%,41.10%,0.34
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,54.18%,29.41%,41.10%,0.34
ITUB4.SA,Modelo de Predição,100000.0,100000.0,0.0,71.71%,0.00%,0.00%,0.00
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,71.71%,0.00%,0.00%,0.00
BBAS3.SA,Modelo de Predição,100000.0,100000.0,0.0,72.51%,50.00%,8.70%,0.15
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,72.51%,50.00%,8.70%,0.15
B3SA3.SA,Modelo de Predição,100000.0,96457.2557693268,-3.5427442306732115,59.76%,42.27%,47.67%,0.45
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,59.76%,42.27%,47.67%,0.45
ABEV3.SA,Modelo de Predição,100000.0,110392.3966371677,10.392396637167687,56.18%,34.09%,36.59%,0.35
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,56.18%,34.09%,36.59%,0.35
VIVT3.SA,Modelo de Predição,100000.0,99055.90640041944,-0.9440935995805532,61.75%,41.18%,24.14%,0.30
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,61.75%,41.18%,24.14%,0.30
