,ticker,label,capital_inicial,capital_final,retorno_total,retorno_anual_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,volatilidade_pct,win_rate_pct,ml_metrics,adaptive_analysis
0,PETR4.SA,Modelo P(up) Realista,100000.0,129497.0492210343,29.49704922103431,29.765113662928023,1.2324556446848354,1.6025245259764835,1.762031664113832,16.8924964682162,23.476520529811726,51.30434782608696,,
1,PETR4.SA,Modelo Score Realista,100000.0,115415.34552360712,15.415345523607126,15.547795605397518,0.6985494797941243,0.8062495496891646,0.9206685178816895,16.887506527507316,25.471086924988604,50.649350649350644,,
2,PETR4.SA,Simulação Simples,100000.0,132206.9206581154,32.206920658115415,32.502546045213144,1.3181333916042077,1.7190286046001857,1.9232544136246104,16.899764178342938,23.55661726168108,51.30434782608696,,
3,PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,17.45876647598339,0.7714891618226246,1.0213926291829294,1.0330775205938558,16.89976417834294,25.016569680101536,50.0,,
4,PETR4.SA,Métricas de ML P(up),,,,,,,,,,,"{'Acurácia': '32.27%', 'Precisão (Up)': '28.88%', 'Recall (Up)': '93.06%', 'F1-Score (Up)': '0.44', 'Distribuição Predições': 'Up: 232, Not-Up: 19'}",
5,PETR4.SA,Métricas de ML Score,,,,,,,,,,,"{'Acurácia': '32.67%', 'Precisão (Up)': '29.18%', 'Recall (Up)': '94.44%', 'F1-Score (Up)': '0.45', 'Distribuição Predições': 'Up: 233, Not-Up: 18'}",
6,PETR4.SA,Análise Adaptativa,,,,,,,,,,,,"{'method': 'quick_testing', 'best_strategy': 'ultra_quick', 'total_strategies_tested': 6, 'best_sharpe': np.float64(4.632527553666769)}"
7,VALE3.SA,Modelo P(up) Realista,100000.0,79662.44166449769,-20.337558335502315,-20.48233066939683,-0.884881216087252,-1.565074232996611,-0.9392439076365717,21.807254221043298,23.027875338355884,40.725806451612904,,
8,VALE3.SA,Modelo Score Realista,100069.32237654264,91679.84981186547,-8.383660811761185,-8.447814159829715,-0.45089954614474637,-0.6085924389480848,-0.7385978641313052,11.437636865854643,16.623597854989164,44.5945945945946,,
9,VALE3.SA,Simulação Simples,100000.0,78250.47702191981,-21.749522978080194,-21.90290318864656,-0.9580043391907649,-1.7016125305062815,-0.9377551430488125,23.35674013734144,23.132548069401263,40.725806451612904,,
10,VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,-22.72770718886147,-1.006382247033826,-1.7904369972563687,-0.9567695593171174,23.75463032611854,23.0884031254387,40.400000000000006,,
11,VALE3.SA,Métricas de ML P(up),,,,,,,,,,,"{'Acurácia': '23.11%', 'Precisão (Up)': '22.80%', 'Recall (Up)': '100.00%', 'F1-Score (Up)': '0.37', 'Distribuição Predições': 'Up: 250, Not-Up: 1'}",
12,VALE3.SA,Métricas de ML Score,,,,,,,,,,,"{'Acurácia': '46.22%', 'Precisão (Up)': '24.00%', 'Recall (Up)': '63.16%', 'F1-Score (Up)': '0.35', 'Distribuição Predições': 'Up: 150, Not-Up: 101'}",
13,VALE3.SA,Análise Adaptativa,,,,,,,,,,,,"{'method': 'quick_testing', 'best_strategy': 'ultra_quick', 'total_strategies_tested': 6, 'best_sharpe': np.float64(1.7374347520964581)}"
14,BBDC4.SA,Modelo P(up) Realista,100000.0,104082.29626103441,4.082296261034402,4.115617679332639,0.32945076412588487,0.44795163691604045,0.2967991246001206,13.8666772851087,16.235384614110245,48.026315789473685,,
15,BBDC4.SA,Modelo Score Realista,100000.0,114528.49418595026,14.528494185950258,14.65285114686148,1.041631835736834,1.5201043181237213,1.0572217464217706,13.859770853612233,14.120732255027757,47.58064516129033,,
16,BBDC4.SA,Simulação Simples,100000.0,106975.15450541934,6.975154505419345,7.0328736853252805,0.49320420211652016,0.6615295590025643,0.5071145145242838,13.868413314737618,16.59015069977777,48.026315789473685,,
17,BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,-26.744726042664023,-1.0044334133942063,-1.098557853322212,-0.9640607906177172,27.7417423288499,27.268443406948716,46.800000000000004,,
18,BBDC4.SA,Métricas de ML P(up),,,,,,,,,,,"{'Acurácia': '47.41%', 'Precisão (Up)': '25.32%', 'Recall (Up)': '69.64%', 'F1-Score (Up)': '0.37', 'Distribuição Predições': 'Up: 154, Not-Up: 97'}",
19,BBDC4.SA,Métricas de ML Score,,,,,,,,,,,"{'Acurácia': '58.57%', 'Precisão (Up)': '30.95%', 'Recall (Up)': '69.64%', 'F1-Score (Up)': '0.43', 'Distribuição Predições': 'Up: 126, Not-Up: 125'}",
20,BBDC4.SA,Análise Adaptativa,,,,,,,,,,,,"{'method': 'quick_testing', 'best_strategy': 'ultra_quick', 'total_strategies_tested': 6, 'best_sharpe': np.float64(1.5538052296825993)}"
21,ITUB4.SA,Modelo P(up) Realista,100000.0,91690.91160289774,-8.30908839710226,-8.372697557624164,-0.9084786109084415,-0.8494562895266877,-0.5898960852648882,14.193512665649358,9.198628775746132,46.236559139784944,,
22,ITUB4.SA,Modelo Score Realista,100000.0,99014.80425754574,-0.985195742454259,-0.9930380452525256,-0.07818594088398785,-0.077416289838987,-0.15049401482709324,6.598521850808849,8.368136788486819,48.421052631578945,,
23,ITUB4.SA,Simulação Simples,100000.0,91531.98615422529,-8.468013845774713,-8.532782165256014,-0.6658990417983967,-0.6320308369548535,-0.5232255417287038,16.30803828319284,12.310948296696377,46.236559139784944,,
