Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,99501.3843357751,-0.4986156642248995,73.31%,0.00%,0.00%,0.00
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,73.31%,0.00%,0.00%,0.00
VALE3.SA,Modelo de Predição,100000.0,100185.53382351394,0.1855338235139392,73.71%,100.00%,1.49%,0.03
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,73.71%,100.00%,1.49%,0.03
BBDC4.SA,Modelo de Predição,100000.0,100000.0,0.0,83.27%,0.00%,0.00%,0.00
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,83.27%,0.00%,0.00%,0.00
ITUB4.SA,Modelo de Predição,100000.0,108786.23262638174,8.78623262638174,76.89%,23.81%,27.78%,0.26
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,76.89%,23.81%,27.78%,0.26
BBAS3.SA,Modelo de Predição,100000.0,101436.43990452624,1.436439904526221,87.65%,0.00%,0.00%,0.00
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,87.65%,0.00%,0.00%,0.00
B3SA3.SA,Modelo de Predição,100000.0,100000.0,0.0,77.69%,0.00%,0.00%,0.00
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,77.69%,0.00%,0.00%,0.00
ABEV3.SA,Modelo de Predição,100000.0,100000.0,0.0,88.84%,0.00%,0.00%,0.00
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,88.84%,0.00%,0.00%,0.00
VIVT3.SA,Modelo de Predição,100000.0,101415.3109314052,1.4153109314052117,86.45%,0.00%,0.00%,0.00
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,86.45%,0.00%,0.00%,0.00
