Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,137299.73260471626,37.29973260471626,52.99%,48.54%,43.48%,0.46
PETR4.SA,Modelo Simples,100000.0,132721.54913976358,32.721549139763574,52.99%,48.54%,43.48%,0.46
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,52.99%,48.54%,43.48%,0.46
VALE3.SA,Modelo de Predição,100000.0,107338.87471110532,7.338874711105303,45.82%,36.36%,53.61%,0.43
VALE3.SA,Modelo Simples,100000.0,103027.33090385416,3.027330903854164,45.82%,36.36%,53.61%,0.43
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,45.82%,36.36%,53.61%,0.43
BBDC4.SA,Modelo de Predição,100000.0,100000.0,0.0,56.18%,33.33%,0.92%,0.02
BBDC4.SA,Modelo Simples,100000.0,100000.0,0.0,56.18%,33.33%,0.92%,0.02
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,56.18%,33.33%,0.92%,0.02
ITUB4.SA,Modelo de Predição,99929.89895626598,99686.67982114706,-0.2433897538767326,55.78%,20.00%,0.93%,0.02
ITUB4.SA,Modelo Simples,100000.0,101664.45880361926,1.664458803619251,55.78%,20.00%,0.93%,0.02
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,55.78%,20.00%,0.93%,0.02
BBAS3.SA,Modelo de Predição,100046.27127248907,110812.84810213832,10.761597301637638,50.20%,45.91%,65.18%,0.54
BBAS3.SA,Modelo Simples,100000.0,109292.31675750716,9.292316757507146,50.20%,45.91%,65.18%,0.54
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,50.20%,45.91%,65.18%,0.54
B3SA3.SA,Modelo de Predição,100000.0,114826.81897555826,14.826818975558265,50.60%,45.06%,67.59%,0.54
B3SA3.SA,Modelo Simples,100000.0,120295.51313099844,20.295513130998422,50.60%,45.06%,67.59%,0.54
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,50.60%,45.06%,67.59%,0.54
ABEV3.SA,Modelo de Predição,100000.0,95490.32242976992,-4.509677570230064,49.80%,47.06%,40.00%,0.43
ABEV3.SA,Modelo Simples,100000.0,93422.8067740605,-6.577193225939492,49.80%,47.06%,40.00%,0.43
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,49.80%,47.06%,40.00%,0.43
VIVT3.SA,Modelo de Predição,100000.0,111600.49590004722,11.600495900047214,49.40%,46.85%,43.33%,0.45
VIVT3.SA,Modelo Simples,100000.0,111121.6353859631,11.121635385963112,49.40%,46.85%,43.33%,0.45
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,49.40%,46.85%,43.33%,0.45
