Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,113012.4334249259,13.012433424925906,53.39%,49.30%,60.87%,0.54
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,53.39%,49.30%,60.87%,0.54
VALE3.SA,Modelo de Predição,100000.0,87051.75764098844,-12.948242359011564,48.61%,35.71%,41.24%,0.38
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,48.61%,35.71%,41.24%,0.38
BBDC4.SA,Modelo de Predição,100000.0,90234.86044915776,-9.76513955084224,47.41%,41.96%,55.05%,0.48
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,47.41%,41.96%,55.05%,0.48
ITUB4.SA,Modelo de Predição,100000.0,99730.45477792526,-0.2695452220747407,55.38%,33.33%,3.70%,0.07
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,55.38%,33.33%,3.70%,0.07
BBAS3.SA,Modelo de Predição,100000.0,104938.289644411,4.938289644410987,56.97%,55.56%,17.86%,0.27
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,56.97%,55.56%,17.86%,0.27
B3SA3.SA,Modelo de Predição,100000.0,121826.87022548668,21.826870225486665,55.38%,48.51%,60.19%,0.54
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,55.38%,48.51%,60.19%,0.54
ABEV3.SA,Modelo de Predição,100000.0,125505.9531736832,25.50595317368318,54.18%,51.57%,68.33%,0.59
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,54.18%,51.57%,68.33%,0.59
VIVT3.SA,Modelo de Predição,100000.0,104917.86006706304,4.917860067063051,55.78%,59.57%,23.33%,0.34
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,55.78%,59.57%,23.33%,0.34
