,ticker,label,capital_inicial,capital_final,retorno_total,retorno_anual_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,volatilidade_pct,win_rate_pct,ml_metrics
0,PETR4.SA,Modelo de Predição,99956.51857593787,125730.71914952192,25.78541243811243,26.016473028400444,1.419344565859653,1.9805554707691118,3.007497746035076,8.650537830892532,17.422222477572657,49.112426035502956,
1,PETR4.SA,Simulação Simples,99947.09294629154,119444.8823199884,19.50811054021788,19.678616256040016,0.9701925565102825,1.1157053871198785,1.351078932666597,14.565112207915737,20.836077704246083,49.70414201183432,
2,PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,17.45876647598339,0.7714891618226246,1.0213926291829294,1.0330775205938558,16.89976417834294,25.016569680101536,50.0,
3,PETR4.SA,Métricas de ML,,,,,,,,,,,"{'Acurácia': '47.81%', 'Precisão (Up)': '32.75%', 'Recall (Up)': '77.78%', 'F1-Score (Up)': '0.46', 'Distribuição Predições': 'Up: 171, Not-Up: 80'}"
4,VALE3.SA,Modelo de Predição,100043.73900000002,104675.94888756143,4.6301846910793865,4.66807763588577,0.3801635386360755,0.4433557267294441,0.5006630117937233,9.323791704047535,14.940851972762811,45.23809523809524,
5,VALE3.SA,Simulação Simples,100000.0,97813.88858644999,-2.186111413550007,-2.203406203936187,-0.07477329965578923,-0.0879046778710047,-0.23044798563515012,9.561403619403572,15.035406000661453,42.857142857142854,
6,VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,-22.72770718886147,-1.006382247033826,-1.7904369972563687,-0.9567695593171174,23.75463032611854,23.0884031254387,40.400000000000006,
7,VALE3.SA,Métricas de ML,,,,,,,,,,,"{'Acurácia': '60.56%', 'Precisão (Up)': '25.58%', 'Recall (Up)': '38.60%', 'F1-Score (Up)': '0.31', 'Distribuição Predições': 'Up: 86, Not-Up: 165'}"
8,BBDC4.SA,Modelo de Predição,100043.73900000002,121230.87691731454,21.17787492660037,21.36423388578541,1.3539666666680135,1.8995951842528493,1.5406861216375578,13.866701066326142,15.202135551758781,53.333333333333336,
9,BBDC4.SA,Simulação Simples,100000.0,117897.88204484206,17.897882044842063,18.05327818935043,1.1615288710388576,1.6333619297122066,1.3017551308602593,13.868413314737618,15.346920938634426,49.629629629629626,
10,BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,-26.744726042664023,-1.0044334133942063,-1.098557853322212,-0.9640607906177172,27.7417423288499,27.268443406948716,46.800000000000004,
11,BBDC4.SA,Métricas de ML,,,,,,,,,,,"{'Acurácia': '54.18%', 'Precisão (Up)': '28.47%', 'Recall (Up)': '69.64%', 'F1-Score (Up)': '0.40', 'Distribuição Predições': 'Up: 137, Not-Up: 114'}"
12,ITUB4.SA,Modelo de Predição,100043.73900000002,110724.73191465632,10.67632319765288,10.766175478003914,378.318306356837,0.0,0.0,0.0,0.027141923437186563,0.0,
13,ITUB4.SA,Simulação Simples,100000.0,100000.0,0.0,0.0,-inf,0.0,0.0,0.0,0.0,0.0,
14,ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,-1.6894367240500197,-0.0015325068342512116,-0.002384137613784716,-0.1025314033304946,16.477261299198002,18.38064268833971,48.4,
15,ITUB4.SA,Métricas de ML,,,,,,,,,,,"{'Acurácia': '72.91%', 'Precisão (Up)': '0.00%', 'Recall (Up)': '0.00%', 'F1-Score (Up)': '0.00', 'Distribuição Predições': 'Up: 0, Not-Up: 251'}"
16,BBAS3.SA,Modelo de Predição,100043.73900000002,110864.7656505693,10.816295710988255,10.907383030890806,1.5107679763274848,0.7536090081089319,2.76227963610753,3.9486889337029463,7.045436007996152,54.166666666666664,
17,BBAS3.SA,Simulação Simples,100000.0,101821.14894888908,1.821148948889073,1.8358510670705819,0.29111990524765663,0.14540913282339063,0.40578272244667135,4.524221869283388,7.1509794337844035,54.166666666666664,
18,BBAS3.SA,Buy and Hold,100000.0,95679.13605531957,-4.320863944680431,-4.337699675634998,-0.17594236199285773,-0.25411692712941314,-0.2684132960179686,16.160524608827934,17.04757031834731,52.800000000000004,
19,BBAS3.SA,Métricas de ML,,,,,,,,,,,"{'Acurácia': '72.51%', 'Precisão (Up)': '38.46%', 'Recall (Up)': '15.87%', 'F1-Score (Up)': '0.22', 'Distribuição Predições': 'Up: 26, Not-Up: 225'}"
20,B3SA3.SA,Modelo de Predição,100043.73900000002,101614.57043526643,1.570144669689344,1.5828047180342253,0.177265978411939,0.17742735357048967,0.10196713542507185,15.522694752931567,17.31981553800381,50.98039215686274,
21,B3SA3.SA,Simulação Simples,100000.0,93638.51700672036,-6.361482993279644,-6.410707715028529,-0.26683810295447585,-0.2646292651489411,-0.38717561705921594,16.557622516936686,18.519032072152765,48.03921568627451,
22,B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,-25.310936676535988,-0.9181851192869608,-1.4632680358875503,-0.7398142204969136,34.21255766013162,27.71794463219498,49.2,
23,B3SA3.SA,Métricas de ML,,,,,,,,,,,"{'Acurácia': '60.96%', 'Precisão (Up)': '29.41%', 'Recall (Up)': '53.57%', 'F1-Score (Up)': '0.38', 'Distribuição Predições': 'Up: 102, Not-Up: 149'}"
24,ABEV3.SA,Modelo de Predição,100043.73900000002,117326.36598025104,17.27507103693018,17.424670532033602,1.0654340659382262,1.141561855943102,1.491380249578612,11.683586755930907,16.39641733176884,55.70469798657718,
