Date,Model_P_up_realistic,Model_Score_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100000.0,100091.29771473292
2024-01-04,100000.0,100000.0,100000.0,99032.12939369766
2024-01-05,100000.0,100000.0,100000.0,100219.13934349593
2024-01-08,100000.0,100000.0,100000.0,101077.42476046475
2024-01-09,100000.0,100000.0,100000.0,99561.72131300808
2024-01-10,100000.0,100000.0,100000.0,99397.36680538609
2024-01-11,100000.0,100000.0,100000.0,100073.03351651067
2024-01-12,100000.0,100000.0,100000.0,100657.40251290228
2024-01-15,100000.0,100000.0,100000.0,102629.65660436587
2024-01-16,100000.0,100000.0,100000.0,102045.28760797427
2024-01-17,100000.0,100000.0,100000.0,102246.15499445517
2024-01-18,100000.0,100000.0,100000.0,101059.16832103523
2024-01-19,100000.0,100000.0,100000.0,102118.33664207051
2024-01-22,100000.0,100000.0,100000.0,101442.65441336037
2024-01-23,100000.0,100000.0,100000.0,103250.54623840922
2024-01-24,100000.0,100000.0,100000.0,103451.42138368291
2024-01-25,100000.0,100000.0,100000.0,103323.59527250545
2024-01-26,100000.0,100000.0,100000.0,104035.78262128175
2024-01-29,100000.0,100000.0,100000.0,103214.0256007575
2024-01-30,100000.0,100000.0,100000.0,102684.42592265429
2024-01-31,100000.0,100000.0,100000.0,103086.18397199447
2024-02-01,99977.68782463175,99982.89058814704,100069.33736238592,105441.93191457598
2024-02-02,99946.94010278571,99953.48030791496,100034.66283795358,105405.39575933869
2024-02-05,100640.34668941866,100527.98668444488,101109.19019553268,106537.6131144702
2024-02-06,102230.02531967007,101930.07430575643,103292.89734474874,108838.56070359214
2024-02-07,102006.58179995588,101724.07259254248,103015.5968742459,108546.37232599995
2024-02-08,100716.79878564787,100522.3439680145,101455.81026106763,106902.84276736586
2024-02-09,98865.60711436401,99163.04541775708,99410.7560789032,105131.47933876154
2024-02-14,98865.60711436401,100309.53768526988,99410.7560789032,106555.87731269245
2024-02-15,98865.60711436401,100313.72349968465,99410.7560789032,106574.13375212192
2024-02-16,98865.60711436401,99544.64881251169,99410.7560789032,105679.31993870862
2024-02-19,98865.60711436401,101218.40118197826,99410.7560789032,107596.78143550544
2024-02-20,98865.60711436401,101833.29973079458,99410.7560789032,108290.71234485226
2024-02-21,98865.60711436401,102073.62744629665,99410.7560789032,108546.37232599995
2024-02-22,98865.60711436401,99852.16362409423,99410.7560789032,106099.33442747829
2024-02-23,98865.60711436401,98649.51699304678,99410.7560789032,104784.51388408813
2024-02-26,98865.60711436401,99570.49416285988,99410.7560789032,105788.89736924939
2024-02-27,98865.60711436401,100751.03367337087,99410.7560789032,107067.19727498779
2024-02-28,98865.60711436401,100953.8785481114,99410.7560789032,107286.34437727656
2024-02-29,98865.60711436401,99442.18986186053,99410.7560789032,105661.06349927916
2024-03-01,98865.60711436401,99543.7860265645,99410.7560789032,105770.62541223435
2024-03-04,98865.60711436401,99134.10542779112,99410.7560789032,105332.362242828
2024-03-05,98865.60711436401,99816.80904049985,99410.7560789032,106062.80603103375
2024-03-06,98865.60711436401,101286.87309092506,99410.7560789032,107633.30207315719
2024-03-07,98865.60711436401,100330.31377417227,99410.7560789032,106610.6621485664
2024-03-08,98865.60711436401,99354.15171708977,99410.7560789032,105569.75802575344
2024-03-11,98865.60711436401,98360.06231198927,99410.7560789032,104510.5819459254
2024-03-12,98865.60711436401,99707.04829714978,99410.7560789032,105945.32239064232
2024-03-13,98865.60711436401,98601.58245095491,99410.7560789032,104768.15834889162
2024-03-14,98865.60711436401,98169.5831364307,99410.7560789032,104308.33349432828
2024-03-15,98865.60711436401,99171.89570366174,99410.7560789032,105375.1519850522
2024-03-18,98865.60711436401,97251.64897258002,99410.7560789032,103057.585061779
2024-03-19,98865.60711436401,97251.64897258002,99410.7560789032,102689.7174193355
2024-03-20,98865.60711436401,97251.64897258002,99410.7560789032,103793.32034666598
2024-03-21,98865.60711436401,97251.64897258002,99410.7560789032,102340.26139217726
2024-03-22,98865.60711436401,97251.64897258002,99410.7560789032,101917.2132154276
2024-03-25,98865.60711436401,97251.64897258002,99410.7560789032,102321.8652944776
2024-03-26,98865.60711436401,97251.64897258002,99410.7560789032,102873.64736116085
2024-03-27,98865.60711436401,97251.64897258002,99410.7560789032,102947.22399316667
2024-03-28,98865.60711436401,97251.64897258002,99410.7560789032,104142.78413261702
2024-04-01,98865.60711436401,97251.64897258002,99410.7560789032,103149.55003269165
2024-04-02,98865.60711436401,97251.64897258002,99410.7560789032,103315.08387681736
2024-04-03,98865.60711436401,97251.64897258002,99410.7560789032,103719.74371466017
2024-04-04,98865.60711436401,97251.64897258002,99410.7560789032,104418.6868041478
2024-04-05,98865.60711436401,97251.64897258002,99410.7560789032,104860.13107859709
2024-04-08,98865.60711436401,97251.64897258002,99410.7560789032,106497.14325128948
2024-04-09,98865.60711436401,97251.64897258002,99410.7560789032,107398.40462150941
2024-04-10,98865.60711436401,97251.64897258002,99410.7560789032,105945.32239064232
2024-04-11,98865.60711436401,97251.64897258002,99410.7560789032,106202.84448205905
2024-04-12,98865.60711436401,97251.64897258002,99410.7560789032,104823.33888319781
2024-04-15,98865.60711436401,97251.64897258002,99410.7560789032,103848.49312217932
2024-04-16,98865.60711436401,97251.64897258002,99410.7560789032,102671.31356284306
2024-04-17,98865.60711436401,97251.64897258002,99410.7560789032,102892.0434588605
2024-04-18,98865.60711436401,97251.64897258002,99410.7560789032,102744.89019484888
