Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100043.73900000002,138000.89812666932,37.94056430324871,52.99%,48.54%,43.48%,0.46
PETR4.SA,Simulação Simples,100000.0,136853.66153294093,36.85366153294092,52.99%,48.54%,43.48%,0.46
PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318,52.99%,48.54%,43.48%,0.46
VALE3.SA,Modelo de Predição,100043.73900000002,114020.0408241332,13.970191402115816,45.82%,36.36%,53.61%,0.43
VALE3.SA,Simulação Simples,100000.0,108430.93393171346,8.430933931713458,45.82%,36.36%,53.61%,0.43
VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393,45.82%,36.36%,53.61%,0.43
BBDC4.SA,Modelo de Predição,100043.73900000002,110724.73191465632,10.67632319765288,56.18%,33.33%,0.92%,0.02
BBDC4.SA,Simulação Simples,100000.0,100000.0,0.0,56.18%,33.33%,0.92%,0.02
BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913,56.18%,33.33%,0.92%,0.02
ITUB4.SA,Modelo de Predição,99930.28290742906,109557.89644760586,9.634330315161211,55.78%,20.00%,0.93%,0.02
ITUB4.SA,Simulação Simples,100000.0,100286.59805499404,0.286598054994025,55.78%,20.00%,0.93%,0.02
ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372,55.78%,20.00%,0.93%,0.02
BBAS3.SA,Modelo de Predição,99993.42254860298,117257.82630153962,17.265539385398164,50.20%,45.91%,65.18%,0.54
BBAS3.SA,Simulação Simples,100000.0,111926.536113726,11.926536113725984,50.20%,45.91%,65.18%,0.54
BBAS3.SA,Buy and Hold,100000.0,95679.13605531956,-4.320863944680431,50.20%,45.91%,65.18%,0.54
B3SA3.SA,Modelo de Predição,100043.73900000002,115747.54370623188,15.696939022073009,50.60%,45.06%,67.59%,0.54
B3SA3.SA,Simulação Simples,100000.0,118690.91084307898,18.69091084307899,50.60%,45.06%,67.59%,0.54
B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799,50.60%,45.06%,67.59%,0.54
ABEV3.SA,Modelo de Predição,100043.73900000002,101731.5829431285,1.6871060198264676,49.80%,47.06%,40.00%,0.43
ABEV3.SA,Simulação Simples,100000.0,99004.9954487997,-0.995004551200296,49.80%,47.06%,40.00%,0.43
ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198865,49.80%,47.06%,40.00%,0.43
VIVT3.SA,Modelo de Predição,100043.73900000002,118145.55187571292,18.09389878532319,49.40%,46.85%,43.33%,0.45
VIVT3.SA,Simulação Simples,100000.0,113627.49375393426,13.62749375393426,49.40%,46.85%,43.33%,0.45
VIVT3.SA,Buy and Hold,100000.0,94069.11177018368,-5.930888229816311,49.40%,46.85%,43.33%,0.45
