Ticker,Estratégia,Capital_Inicial,Capital_Final,Retorno_Total,Acurácia_ML,Precisão_ML,Recall_ML,F1_Score_ML
PETR4.SA,Modelo de Predição,100000.0,217363.7352151907,117.3637352151907,52.67%,52.80%,90.67%,0.67
PETR4.SA,Buy and Hold,100000.0,220471.47547651103,120.47147547651105,52.67%,52.80%,90.67%,0.67
VALE3.SA,Modelo de Predição,99900.0,54629.90320372053,-45.31541220848796,46.72%,44.88%,68.21%,0.54
VALE3.SA,Buy and Hold,100000.0,76058.00066015702,-23.94199933984298,46.72%,44.88%,68.21%,0.54
BBDC4.SA,Modelo de Predição,99900.0,165551.01234943914,65.71672907851766,51.76%,52.28%,38.53%,0.44
BBDC4.SA,Buy and Hold,100000.0,134416.68990422235,34.41668990422235,51.76%,52.28%,38.53%,0.44
ITUB4.SA,Modelo de Predição,100000.0,109885.1155020841,9.885115502084084,48.09%,48.08%,7.40%,0.13
ITUB4.SA,Buy and Hold,100000.0,200773.4561946578,100.77345619465778,48.09%,48.08%,7.40%,0.13
BBAS3.SA,Modelo de Predição,99900.0,104141.16632165012,4.245411733383508,47.79%,52.50%,6.10%,0.11
BBAS3.SA,Buy and Hold,100000.0,147775.3635863512,47.77536358635119,47.79%,52.50%,6.10%,0.11
B3SA3.SA,Modelo de Predição,99900.0,115210.71085418508,15.326036891076145,50.99%,50.91%,25.93%,0.34
B3SA3.SA,Buy and Hold,100000.0,115170.02620246651,15.170026202466502,50.99%,50.91%,25.93%,0.34
ABEV3.SA,Modelo de Predição,100000.0,104532.10673130692,4.5321067313069285,53.28%,100.00%,0.33%,0.01
ABEV3.SA,Buy and Hold,100000.0,95946.39495044854,-4.053605049551468,53.28%,100.00%,0.33%,0.01
VIVT3.SA,Modelo de Predição,99900.0,90038.51671103215,-9.871354643611465,46.72%,51.42%,35.67%,0.42
VIVT3.SA,Buy and Hold,100000.0,211763.87007927243,111.76387007927242,46.72%,51.42%,35.67%,0.42
