,ticker,label,capital_inicial,capital_final,retorno_total
0,ABEV3.SA,Modelo de Predição,100000.0,95490.32242976993,-4.509677570230064
1,ABEV3.SA,Modelo Simples,100000.0,93422.8067740605,-6.577193225939492
2,ABEV3.SA,Buy and Hold,100000.0,90350.64598780114,-9.649354012198863
3,B3SA3.SA,Modelo de Predição,100000.0,114826.81897555826,14.826818975558265
4,B3SA3.SA,Modelo Simples,100000.0,120295.51313099843,20.295513130998422
5,B3SA3.SA,Buy and Hold,100000.0,74775.60944246201,-25.22439055753799
6,BBAS3.SA,Modelo de Predição,100046.27127248907,110812.84810213833,10.761597301637638
7,BBAS3.SA,Modelo Simples,100000.0,109292.31675750716,9.292316757507146
8,BBAS3.SA,Buy and Hold,100000.0,95679.13605531957,-4.320863944680431
9,BBDC4.SA,Modelo de Predição,100000.0,100000.0,0.0
10,BBDC4.SA,Modelo Simples,100000.0,100000.0,0.0
11,BBDC4.SA,Buy and Hold,100000.0,73345.80009197087,-26.65419990802913
12,ITUB4.SA,Modelo de Predição,99929.89895626598,99686.67982114706,-0.24338975387673267
13,ITUB4.SA,Modelo Simples,100000.0,101664.45880361926,1.664458803619251
14,ITUB4.SA,Buy and Hold,100000.0,98317.21066214197,-1.6827893378580372
15,PETR4.SA,Modelo de Predição,100000.0,137299.73260471626,37.29973260471626
16,PETR4.SA,Modelo Simples,100000.0,132721.54913976358,32.721549139763574
17,PETR4.SA,Buy and Hold,100000.0,117383.78592864318,17.38378592864318
18,VALE3.SA,Modelo de Predição,100000.0,107338.87471110531,7.338874711105303
19,VALE3.SA,Modelo Simples,100000.0,103027.33090385416,3.027330903854164
20,VALE3.SA,Buy and Hold,100000.0,77351.39470303607,-22.64860529696393
21,VIVT3.SA,Modelo de Predição,100000.0,111600.49590004722,11.600495900047214
22,VIVT3.SA,Modelo Simples,100000.0,111121.6353859631,11.121635385963113
23,VIVT3.SA,Buy and Hold,100000.0,94069.11177018369,-5.930888229816311
